source_id,source_type,title,author_or_organization,year,url_or_path,status,relevance_to_social_stage,variables_expected,notes
tokyo-ev-bus-truck-subsidy-2024,official_policy,EV bus and EV truck introduction support program,Tokyo Metropolitan Government Bureau of Environment,2024,,reviewed,Tokyo commercial EV policy support,EV buses; EV trucks; subsidy; commercial vehicle electrification,Use as Tokyo policy-side evidence that commercial EV deployment is socially relevant; not route-level data.
tokyo-ev-truck-subsidy-2026,official_policy,FY2026 EV bus and EV truck purchase subsidy press release,Tokyo Metropolitan Government,2026,,reviewed,Tokyo EV truck and charging support context,EV trucks; charging equipment; V2B; freight operator criteria,Use as evidence that EV truck deployment and charging infrastructure are linked in Tokyo policy; not optimization-input data.
yamato-ecanter-2023,company_release,eCanter electric trucks to Yamato Transport,Mitsubishi Fuso Truck and Bus Corporation,2023,,reviewed,Japanese commercial EV delivery deployment,electric trucks; parcel delivery; home delivery; daily charging,Use as operator deployment evidence that EV trucks are entering Japanese delivery operations; not a benchmark dataset.
fedex-japan-ev-fleet-2026,company_release,FedEx expands electric vehicle fleet in Japan,FedEx,2026,,reviewed,Tokyo-area parcel delivery electrification,electric trucks; last-mile operations; pickup and delivery; Tokyo; Kanagawa; Osaka,Use as concrete Tokyo-area commercial EV delivery evidence; small fleet count and no route-level data.
tokyo-last-mile-mckinsey-2021,industry_analysis,Efficient and sustainable last-mile logistics: Lessons from Japan,McKinsey,2021,,reviewed,Tokyo last-mile logistics pressure,Tokyo 23 wards; e-commerce; delivery vehicles; travel distance; CO2 pressure,Use as contextual urban logistics pressure evidence; scenario/industry analysis rather than raw open data.
evrp-nl-montoya-2017,paper,The electric vehicle routing problem with nonlinear charging function,Montoya et al.,2017,,reviewed,EVRP benchmark with nonlinear charging,nonlinear charging; partial charging; charging stations; EVRP testbed,Use to show charging-aware routing needs more than station counts; charging functions may need assumptions.
e-cvrp-benchmark-mavrovouniotis-2020,benchmark_repository,A Benchmark Test Suite for the Electric Capacitated Vehicle Routing Problem,Mavrovouniotis et al.,2020,,reviewed,EVRP benchmark instance fields and scale,vehicles; dimension; stations; energy capacity; cargo capacity,Use to compare classical EVRP benchmark fields/scale against quantum VRP toy-size evidence.
evrptw-instances-mendeley-2019,benchmark_dataset,E-VRPTW instances,Dominik Goeke / Mendeley Data,2019,,reviewed,Public EVRPTW benchmark dataset,E-VRPTW instance files; customers; charging stations; cargo capacity; battery capacity; ReadyTime; DueDate; ServiceTime,Use as the parsed benchmark dataset for time-window fields in the EVRP requirement map.
mlit-logistics-policy-2026-2030,official_policy,Comprehensive Logistics Policy Guidelines 2026-2030,Ministry of Land Infrastructure Transport and Tourism Japan,2026,,reviewed,Japan logistics policy and structural logistics constraints,logistics policy; transport capacity; productivity; labor shortage; logistics efficiency,Use as primary policy context for the Future Wheels root event and economic/operational-friction motivation.
mlit-logistics-2024-problem-briefing,official_policy,Logistics 2024 problem and policy package briefing,Ministry of Land Infrastructure Transport and Tourism Japan,2024,,reviewed,Quantitative motivation for logistics capacity pressure,2024 problem; 14 percent transport capacity shortage; 34 percent transport capacity shortage by 2030; loading and waiting time; delivery efficiency,"Use to support the root-event claim that logistics frictions are structural and economically important. Treat as motivation evidence, not routing-instance data."
mlit-logistics-decarbonization-support,official_policy,Support project for logistics decarbonization and efficiency,Ministry of Land Infrastructure Transport and Tourism Japan,2025,,reviewed,Policy support for logistics decarbonization and operational efficiency,logistics decarbonization; EV trucks; charging equipment; operational efficiency,Use as policy-side context linking logistics decarbonization and charging/EV operational constraints. Not a route-level dataset.
