edge_id,source_node,target_node,edge_type,evidence_strength,plausibility_low,plausibility_high,source_id,rationale,assumptions,review_status,weight_source,plausibility_low_before,plausibility_high_before,plausibility_low_after,plausibility_high_after,reviewer_rationale,review_date,expert_id_anonymized
edge_requirement_stage_dynamic_req_demand,stage_dynamic,req_demand,requirement_association,medium,,,demand variation,Requirement association from social-side extraction and EVRP organizing results.,"Requirement association, not route success probability.",not_reviewed,design_rule_and_social_variable_extraction,,,,,,,
edge_requirement_stage_dynamic_req_congestion,stage_dynamic,req_congestion,requirement_association,medium,,,charging congestion,Requirement association from social-side extraction and EVRP organizing results.,"Requirement association, not route success probability.",not_reviewed,design_rule_and_social_variable_extraction,,,,,,,
edge_requirement_stage_dynamic_req_reopt,stage_dynamic,req_reopt,requirement_association,medium,,,reoptimization,Requirement association from social-side extraction and EVRP organizing results.,"Requirement association, not route success probability.",not_reviewed,design_rule_and_social_variable_extraction,,,,,,,
edge_requirement_stage_operation_req_tms,stage_operation,req_tms,requirement_association,medium,,,TMS,Requirement association from social-side extraction and EVRP organizing results.,"Requirement association, not route success probability.",not_reviewed,design_rule_and_social_variable_extraction,,,,,,,
edge_requirement_stage_operation_req_dispatch,stage_operation,req_dispatch,requirement_association,medium,,,dispatch workflow,Requirement association from social-side extraction and EVRP organizing results.,"Requirement association, not route success probability.",not_reviewed,design_rule_and_social_variable_extraction,,,,,,,
edge_requirement_stage_operation_req_data,stage_operation,req_data,requirement_association,medium,,,operational data,Requirement association from social-side extraction and EVRP organizing results.,"Requirement association, not route success probability.",not_reviewed,design_rule_and_social_variable_extraction,,,,,,,
edge_requirement_stage_operation_req_kpi,stage_operation,req_kpi,requirement_association,medium,,,KPI,Requirement association from social-side extraction and EVRP organizing results.,"Requirement association, not route success probability.",not_reviewed,design_rule_and_social_variable_extraction,,,,,,,
edge_requirement_stage_operation_req_deploy,stage_operation,req_deploy,requirement_association,medium,,,deployment evaluation,Requirement association from social-side extraction and EVRP organizing results.,"Requirement association, not route success probability.",not_reviewed,design_rule_and_social_variable_extraction,,,,,,,
edge_evidence_01_req_customers_ev_formulation,req_customers,ev_formulation,evidence_connection,medium,,,REQ-01; Figure 1 CSV; 202_20260625_quantum_readiness_evidence.csv,reported width / formulation evidence,"Dotted line means relevant/required evidence stage or documented evidence gap, not demonstrated utility.",not_reviewed,existing_quantum_evidence_or_documented_gap,,,,,,,
edge_evidence_02_req_vehicles_ev_simulation,req_vehicles,ev_simulation,evidence_connection,medium,,,REQ-02; Figure 1 CSV; 202_20260625_quantum_readiness_evidence.csv,small routing instances,"Dotted line means relevant/required evidence stage or documented evidence gap, not demonstrated utility.",not_reviewed,existing_quantum_evidence_or_documented_gap,,,,,,,
edge_evidence_03_req_capacity_ev_simulation,req_capacity,ev_simulation,evidence_connection,medium,,,REQ-04; Figure 1 CSV; 202_20260625_quantum_readiness_evidence.csv,CVRP capacity appears in small-scale evidence,"Dotted line means relevant/required evidence stage or documented evidence gap, not demonstrated utility.",not_reviewed,existing_quantum_evidence_or_documented_gap,,,,,,,
edge_evidence_04_req_time_ev_hardware,req_time,ev_hardware,evidence_connection,medium,,,REQ-09; Figure 1 CSV; 202_20260625_quantum_readiness_evidence.csv,time-window constraints are partially handled in VRPTW-related evidence,"Dotted line means relevant/required evidence stage or documented evidence gap, not demonstrated utility.",not_reviewed,existing_quantum_evidence_or_documented_gap,,,,,,,
edge_evidence_05_req_distance_ev_simulation,req_distance,ev_simulation,evidence_connection,medium,,,REQ-08; Figure 1 CSV; 202_20260625_quantum_readiness_evidence.csv,distance/travel costs are represented in static routing formulations,"Dotted line means relevant/required evidence stage or documented evidence gap, not demonstrated utility.",not_reviewed,existing_quantum_evidence_or_documented_gap,,,,,,,
edge_evidence_06_req_battery_gap_battery,req_battery,gap_battery,evidence_connection,low,,,REQ-05; Figure 1 CSV; 202_20260625_quantum_readiness_evidence.csv,battery/range is a priority organizing-result gap,"Dotted line means relevant/required evidence stage or documented evidence gap, not demonstrated utility.",not_reviewed,existing_quantum_evidence_or_documented_gap,,,,,,,
edge_evidence_07_req_soc_gap_battery,req_soc,gap_battery,evidence_connection,low,,,REQ-05; Figure 1 CSV; 202_20260625_quantum_readiness_evidence.csv,SOC state constraints have no direct Figure 1 evidence,"Dotted line means relevant/required evidence stage or documented evidence gap, not demonstrated utility.",not_reviewed,existing_quantum_evidence_or_documented_gap,,,,,,,
edge_evidence_08_req_energy_gap_energy,req_energy,gap_energy,evidence_connection,low,,,REQ-06; Figure 1 CSV; 202_20260625_quantum_readiness_evidence.csv,distance-energy coupling is a priority organizing-result gap,"Dotted line means relevant/required evidence stage or documented evidence gap, not demonstrated utility.",not_reviewed,existing_quantum_evidence_or_documented_gap,,,,,,,
edge_evidence_09_req_charger_gap_charging,req_charger,gap_charging,evidence_connection,low,,,REQ-03; Figure 1 CSV; 202_20260625_quantum_readiness_evidence.csv,charging station choice has no direct Figure 1 evidence,"Dotted line means relevant/required evidence stage or documented evidence gap, not demonstrated utility.",not_reviewed,existing_quantum_evidence_or_documented_gap,,,,,,,
edge_evidence_10_req_charge_time_gap_charging,req_charge_time,gap_charging,evidence_connection,low,,,charging time; Figure 1 CSV; 202_20260625_quantum_readiness_evidence.csv,charging-time constraints have no direct Figure 1 evidence,"Dotted line means relevant/required evidence stage or documented evidence gap, not demonstrated utility.",not_reviewed,existing_quantum_evidence_or_documented_gap,,,,,,,
edge_evidence_11_req_traffic_gap_dynamic,req_traffic,gap_dynamic,evidence_connection,low,,,traffic variation; Figure 1 CSV; 202_20260625_quantum_readiness_evidence.csv,dynamic traffic adaptation is not directly supported,"Dotted line means relevant/required evidence stage or documented evidence gap, not demonstrated utility.",not_reviewed,existing_quantum_evidence_or_documented_gap,,,,,,,
edge_evidence_12_req_congestion_gap_dynamic,req_congestion,gap_dynamic,evidence_connection,low,,,charging congestion; Figure 1 CSV; 202_20260625_quantum_readiness_evidence.csv,charging congestion is not directly supported,"Dotted line means relevant/required evidence stage or documented evidence gap, not demonstrated utility.",not_reviewed,existing_quantum_evidence_or_documented_gap,,,,,,,
edge_evidence_13_req_reopt_ev_runtime,req_reopt,ev_runtime,evidence_connection,low,,,reoptimization; Figure 1 CSV; 202_20260625_quantum_readiness_evidence.csv,future evidence would need runtime/reoptimization workflow,"Dotted line means relevant/required evidence stage or documented evidence gap, not demonstrated utility.",not_reviewed,existing_quantum_evidence_or_documented_gap,,,,,,,
edge_evidence_14_req_tms_gap_operation,req_tms,gap_operation,evidence_connection,low,,,TMS; Figure 1 CSV; 202_20260625_quantum_readiness_evidence.csv,operational workflow evidence would be needed,"Dotted line means relevant/required evidence stage or documented evidence gap, not demonstrated utility.",not_reviewed,existing_quantum_evidence_or_documented_gap,,,,,,,
edge_evidence_15_req_dispatch_gap_operation,req_dispatch,gap_operation,evidence_connection,low,,,dispatch workflow; Figure 1 CSV; 202_20260625_quantum_readiness_evidence.csv,dispatch workflow evidence would be needed,"Dotted line means relevant/required evidence stage or documented evidence gap, not demonstrated utility.",not_reviewed,existing_quantum_evidence_or_documented_gap,,,,,,,
edge_evidence_16_req_kpi_gap_operation,req_kpi,gap_operation,evidence_connection,low,,,KPI; Figure 1 CSV; 202_20260625_quantum_readiness_evidence.csv,deployment and utility evidence would be needed,"Dotted line means relevant/required evidence stage or documented evidence gap, not demonstrated utility.",not_reviewed,existing_quantum_evidence_or_documented_gap,,,,,,,
edge_cross_01_req_time_stage_ev,req_time,stage_ev,cross_stage_relation,medium,,,srl_qrl_requirement_evidence_network_design_rules_v2.md; EVRP requirement logic,Time windows continue to constrain EV routing.,Cross-stage relation is structural and qualitative; it is not a causal probability.,not_reviewed,design_rule_and_evrp_requirement_mapping,,,,,,,
edge_cross_02_req_time_stage_dynamic,req_time,stage_dynamic,cross_stage_relation,medium,,,srl_qrl_requirement_evidence_network_design_rules_v2.md; EVRP requirement logic,Traffic variation affects time-window feasibility.,Cross-stage relation is structural and qualitative; it is not a causal probability.,not_reviewed,design_rule_and_evrp_requirement_mapping,,,,,,,
edge_cross_03_req_soc_stage_dynamic,req_soc,stage_dynamic,cross_stage_relation,medium,,,srl_qrl_requirement_evidence_network_design_rules_v2.md; EVRP requirement logic,SOC constraints continue into dynamic EV logistics.,Cross-stage relation is structural and qualitative; it is not a causal probability.,not_reviewed,design_rule_and_evrp_requirement_mapping,,,,,,,
edge_cross_04_req_charger_req_congestion,req_charger,req_congestion,cross_stage_relation,medium,,,srl_qrl_requirement_evidence_network_design_rules_v2.md; EVRP requirement logic,Charging station choice connects to charging congestion.,Cross-stage relation is structural and qualitative; it is not a causal probability.,not_reviewed,design_rule_and_evrp_requirement_mapping,,,,,,,
edge_cross_05_req_congestion_req_reopt,req_congestion,req_reopt,cross_stage_relation,low,,,srl_qrl_requirement_evidence_network_design_rules_v2.md; EVRP requirement logic,Charging congestion can trigger reoptimization.,Cross-stage relation is structural and qualitative; it is not a causal probability.,not_reviewed,design_rule_and_evrp_requirement_mapping,,,,,,,
edge_cross_06_req_traffic_req_time,req_traffic,req_time,cross_stage_relation,medium,,,srl_qrl_requirement_evidence_network_design_rules_v2.md; EVRP requirement logic,Traffic variation changes travel-time and time-window feasibility.,Cross-stage relation is structural and qualitative; it is not a causal probability.,not_reviewed,design_rule_and_evrp_requirement_mapping,,,,,,,
