evidence_id,survey_id,reported_value,value_type,unit,width_definition,logical_or_physical,problem_family,problem_variant,instance_size,customer_count,vehicle_count,constraints_included,formulation,encoding,algorithm,source_title,authors,year,doi,url,page,equation,table_or_figure,extraction_method,verification_status,evidence_quality,notes,metric_definition,problem_type,DOI_or_URL,status
CW-VERIFIED-011,SURV-015,12.0,NUMERIC_VALUE,qubits,logical qubits or circuit wires used by the reported formulation,logical/resource-level; physical mapping not evaluated,transportation/routing optimization,VRP,"(4,2) instance",,2.0,multiple vehicles; subtour elimination,edge-based Ising/QAOA encoding,Ising formulation for VRP using Qiskit,QAOA,Solving Vehicle Routing Problem Using Quantum Approximate Optimization Algorithm,Utkarsh Azad; Bikash K. Behera; Emad A. Ahmed; Prasanta K. Panigrahi; Ahmed Farouk,2020,10.1109/TITS.2022.3172241,https://arxiv.org/abs/2002.01351,vrp-2020-azad Fig. 2; Section V.A,W = n(n-1),Fig. 2,local primary-source PDF/text extraction followed by structured normalization,DIRECTLY_REPORTED,A,The paper states N=n*(n-1) qubits and reports sufficient probability for p>=12; Fig. 2 shows p=12.,logical qubits or circuit wires used by the reported formulation,VRP,10.1109/TITS.2022.3172241,DIRECTLY_REPORTED
CW-VERIFIED-012,SURV-016,20.0,NUMERIC_VALUE,qubits,logical qubits or circuit wires used by the reported formulation,logical/resource-level; physical mapping not evaluated,transportation/routing optimization,VRP,"(5,2) instance",,2.0,multiple vehicles; subtour elimination,edge-based Ising/QAOA encoding,Ising formulation for VRP using Qiskit,QAOA,Solving Vehicle Routing Problem Using Quantum Approximate Optimization Algorithm,Utkarsh Azad; Bikash K. Behera; Emad A. Ahmed; Prasanta K. Panigrahi; Ahmed Farouk,2020,10.1109/TITS.2022.3172241,https://arxiv.org/abs/2002.01351,vrp-2020-azad Section V.B; Figs. 5-6,W = n(n-1),Figs,local primary-source PDF/text extraction followed by structured normalization,DIRECTLY_REPORTED,A,The paper reports 20 qubits and trials over p=6 to 40. The obtained state was not the optimal one in the shown result.,logical qubits or circuit wires used by the reported formulation,VRP,10.1109/TITS.2022.3172241,DIRECTLY_REPORTED
CW-VERIFIED-013,SURV-017,20.0,NUMERIC_VALUE,qubits,logical qubits or circuit wires used by the reported formulation,logical/resource-level; physical mapping not evaluated,transportation/routing optimization,VRP,"(5,3) instance",,3.0,multiple vehicles; subtour elimination,edge-based Ising/QAOA encoding,Ising formulation for VRP using Qiskit,QAOA,Solving Vehicle Routing Problem Using Quantum Approximate Optimization Algorithm,Utkarsh Azad; Bikash K. Behera; Emad A. Ahmed; Prasanta K. Panigrahi; Ahmed Farouk,2020,10.1109/TITS.2022.3172241,https://arxiv.org/abs/2002.01351,vrp-2020-azad Fig. 3; Section V.C,W = n(n-1),Fig. 3,local primary-source PDF/text extraction followed by structured normalization,DIRECTLY_REPORTED,A,The paper reports 20 qubits and sufficient probability for p>=24; Fig. 3 shows p=24 for top feasible solutions.,logical qubits or circuit wires used by the reported formulation,VRP,10.1109/TITS.2022.3172241,DIRECTLY_REPORTED
CW-VERIFIED-014,SURV-018,6.0,NUMERIC_VALUE,qubits,logical qubits or circuit wires used by the reported formulation,logical/resource-level; physical mapping not evaluated,transportation/routing optimization,VRP,3-node 2-vehicle instance,,2.0,multiple vehicles; subtour elimination,edge-based link QUBO / QAOA,Link-based VRP formulation; flow conservation and subtour elimination in cost Hamiltonian,QAOA,Quantum-Assisted Vehicle Routing: Realizing QAOA-based Approach on Gate-Based Quantum Computer,Talha Azfar; Osama Muhammad Raisuddin; Ruimin Ke; Jose Holguin-Veras,2025,10.48550/arXiv.2505.01614,https://arxiv.org/abs/2505.01614,vrp-2025-azfar-arxiv Section 4.1-4.3; Fig. 4,NOT_APPLICABLE,Fig. 4,local primary-source PDF/text extraction followed by structured normalization,DIRECTLY_REPORTED,A,"Binary variables are directly mapped to qubits. This is the successful small hardware instance; depth is QAOA p, while gate counts are after transpilation.",logical qubits or circuit wires used by the reported formulation,VRP,10.48550/arXiv.2505.01614,DIRECTLY_REPORTED
CW-VERIFIED-015,SURV-019,14.0,NUMERIC_VALUE,qubits,logical qubits or circuit wires used by the reported formulation,logical/resource-level; physical mapping not evaluated,transportation/routing optimization,VRP,4-node instance,,,multiple vehicles; subtour elimination,edge-based link QUBO / QAOA,Link-based VRP formulation; flow conservation and subtour elimination in cost Hamiltonian,QAOA,Quantum-Assisted Vehicle Routing: Realizing QAOA-based Approach on Gate-Based Quantum Computer,Talha Azfar; Osama Muhammad Raisuddin; Ruimin Ke; Jose Holguin-Veras,2025,10.48550/arXiv.2505.01614,https://arxiv.org/abs/2505.01614,vrp-2025-azfar-arxiv Section 4.3,NOT_APPLICABLE,NOT_REPORTED,local primary-source PDF/text extraction followed by structured normalization,DIRECTLY_REPORTED,B,The paper uses this as evidence that larger p=2 instances become impractical and infeasible under hardware noise.,logical qubits or circuit wires used by the reported formulation,VRP,10.48550/arXiv.2505.01614,DIRECTLY_REPORTED
CW-VERIFIED-016,SURV-020,30.0,NUMERIC_VALUE,qubits,logical qubits or circuit wires used by the reported formulation,logical/resource-level; physical mapping not evaluated,transportation/routing optimization,VRP,5-node instance,,,multiple vehicles; subtour elimination,edge-based link QUBO / QAOA,Link-based VRP formulation; flow conservation and subtour elimination in cost Hamiltonian,QAOA,Quantum-Assisted Vehicle Routing: Realizing QAOA-based Approach on Gate-Based Quantum Computer,Talha Azfar; Osama Muhammad Raisuddin; Ruimin Ke; Jose Holguin-Veras,2025,10.48550/arXiv.2505.01614,https://arxiv.org/abs/2505.01614,vrp-2025-azfar-arxiv Section 4.3; Figs. 8-10,NOT_APPLICABLE,Figs,local primary-source PDF/text extraction followed by structured normalization,DIRECTLY_REPORTED,A,The row is a scale warning rather than a successful solved instance; total gates increase rapidly with problem size.,logical qubits or circuit wires used by the reported formulation,VRP,10.48550/arXiv.2505.01614,DIRECTLY_REPORTED
CW-VERIFIED-017,SURV-023,9.0,NUMERIC_VALUE,qubits,logical qubits or circuit wires used by the reported formulation,logical/resource-level; physical mapping not evaluated,transportation/routing optimization,CVRP/TSP decomposition,4-node TSP subproblem,,,capacity,clustering + TSP; QAOA and hardware-efficient VQE,CVRP reduced to clustering plus TSP subproblems; application-driven solution-quality metric,QAOA and VQE,Quantum-Assisted Solution Paths for the Capacitated Vehicle Routing Problem,Lilly Palackal; Benedikt Poggel; Matthias Wulff; Hans Ehm; Jeanette Miriam Lorenz; Christian B. Mendl,2023,10.1109/QCE57702.2023.00080,https://arxiv.org/abs/2304.09629,cvrp-2023-palackal Section IV; Table I; Table II; Table IV,W = (n-1)^2 for the extracted TSP subproblem encoding,Table I; Table II; Table IV,local primary-source PDF/text extraction followed by structured normalization,DIRECTLY_REPORTED,A,This is not a direct full-CVRP circuit resource row; it is a TSP subproblem after CVRP clustering. QAOA p=5 did not reliably produce feasible TSP solutions.,logical qubits or circuit wires used by the reported formulation,CVRP/TSP decomposition,10.1109/QCE57702.2023.00080,DIRECTLY_REPORTED
CW-VERIFIED-018,SURV-024,16.0,NUMERIC_VALUE,qubits,logical qubits or circuit wires used by the reported formulation,logical/resource-level; physical mapping not evaluated,transportation/routing optimization,CVRP/TSP decomposition,5-node TSP subproblem,,,capacity,clustering + TSP; QAOA and hardware-efficient VQE,CVRP reduced to clustering plus TSP subproblems; application-driven solution-quality metric,QAOA and VQE,Quantum-Assisted Solution Paths for the Capacitated Vehicle Routing Problem,Lilly Palackal; Benedikt Poggel; Matthias Wulff; Hans Ehm; Jeanette Miriam Lorenz; Christian B. Mendl,2023,10.1109/QCE57702.2023.00080,https://arxiv.org/abs/2304.09629,cvrp-2023-palackal Section IV; Table I; Table II; Table III,W = (n-1)^2 for the extracted TSP subproblem encoding,Table I; Table II; Table III,local primary-source PDF/text extraction followed by structured normalization,DIRECTLY_REPORTED,A,TSP subproblem resource row. The paper uses it to show feasibility/penalty sensitivity and QAOA limitations.,logical qubits or circuit wires used by the reported formulation,CVRP/TSP decomposition,10.1109/QCE57702.2023.00080,DIRECTLY_REPORTED
CW-VERIFIED-019,SURV-025,25.0,NUMERIC_VALUE,qubits,logical qubits or circuit wires used by the reported formulation,logical/resource-level; physical mapping not evaluated,transportation/routing optimization,CVRP/TSP decomposition,6-node TSP subproblem,,,capacity,clustering + TSP; QAOA and hardware-efficient VQE,CVRP reduced to clustering plus TSP subproblems; application-driven solution-quality metric,QAOA and VQE,Quantum-Assisted Solution Paths for the Capacitated Vehicle Routing Problem,Lilly Palackal; Benedikt Poggel; Matthias Wulff; Hans Ehm; Jeanette Miriam Lorenz; Christian B. Mendl,2023,10.1109/QCE57702.2023.00080,https://arxiv.org/abs/2304.09629,cvrp-2023-palackal Section IV; Fig. 3; Table II,W = (n-1)^2 for the extracted TSP subproblem encoding,Fig. 3; Table II,local primary-source PDF/text extraction followed by structured normalization,DIRECTLY_REPORTED,A,TSP subproblem resource row. This row supports workflow/runtime and feasibility-gap discussion rather than direct CVRP scaling.,logical qubits or circuit wires used by the reported formulation,CVRP/TSP decomposition,10.1109/QCE57702.2023.00080,DIRECTLY_REPORTED
CW-L-MIN-SLIDE,SLIDE-LEONIDAS-MIN,128.0,SLIDE_TRANSCRIBED,qubits,slide-described minimal formulation width,NOT_VERIFIED,VRP,VRPTW,not verified,,,NOT_VERIFIED,minimal encoding (slide label),NOT_VERIFIED,NOT_VERIFIED,Qubit efficient quantum algorithms for the vehicle routing problem on NISQ processors,Ioannis D. Leonidas; Alexander Dukakis; Benjamin Tan; Dimitris G. Angelakis,2023,10.48550/arXiv.2306.08507,https://arxiv.org/abs/2306.08507,MISSING,MISSING,research slide 7,slide transcription plus unsuccessful primary-source value match,SOURCE_NOT_VERIFIED,D,The paper reports a 128-route instance using 8 qubits; the origin of the slide value 128 as a width was not verified.,slide-described minimal formulation width,VRPTW,10.48550/arXiv.2306.08507,SOURCE_NOT_VERIFIED
CW-L-FULL-SLIDE,SLIDE-LEONIDAS-FULL,256.0,SLIDE_TRANSCRIBED,qubits,slide-described full formulation width,NOT_VERIFIED,VRP,VRPTW,not verified,,,NOT_VERIFIED,full encoding (slide label),NOT_VERIFIED,NOT_VERIFIED,Qubit efficient quantum algorithms for the vehicle routing problem on NISQ processors,Ioannis D. Leonidas; Alexander Dukakis; Benjamin Tan; Dimitris G. Angelakis,2023,10.48550/arXiv.2306.08507,https://arxiv.org/abs/2306.08507,MISSING,MISSING,research slide 7,slide transcription plus unsuccessful primary-source value match,SOURCE_NOT_VERIFIED,D,"No primary-source page, equation, table, or instance substitution yielding 256 was identified.",slide-described full formulation width,VRPTW,10.48550/arXiv.2306.08507,SOURCE_NOT_VERIFIED
CW-O-HOBO-SLIDE,SLIDE-ONAH-HOBO,6080.0,SLIDE_TRANSCRIBED,qubits,slide-described higher-order encoding width,NOT_VERIFIED,VRP,CVRP,not verified,,,NOT_VERIFIED,HOBO/direct encoding (slide label),NOT_VERIFIED,resource estimate,Requirements for Early Quantum Advantage and Quantum Utility in the Capacitated Vehicle Routing Problem,Chinonso Onah; Kristel Michielsen,2025,10.48550/arXiv.2509.11469,https://arxiv.org/abs/2509.11469,MISSING,MISSING,research slide 7,slide transcription plus unsuccessful primary-source value match,SOURCE_NOT_VERIFIED,D,"The primary paper's Golden_5 row reports 7,685 HOBO qubits; the instance yielding 6,080 was not verified.",slide-described higher-order encoding width,CVRP,10.48550/arXiv.2509.11469,SOURCE_NOT_VERIFIED
CW-O-QUBO-SLIDE,SLIDE-ONAH-QUBO,14528.0,SLIDE_TRANSCRIBED,qubits,slide-described quadratic encoding width,NOT_VERIFIED,VRP,CVRP,not verified,,,NOT_VERIFIED,QUBO (slide label),NOT_VERIFIED,resource estimate,Requirements for Early Quantum Advantage and Quantum Utility in the Capacitated Vehicle Routing Problem,Chinonso Onah; Kristel Michielsen,2025,10.48550/arXiv.2509.11469,https://arxiv.org/abs/2509.11469,MISSING,MISSING,research slide 7,slide transcription plus unsuccessful primary-source value match,SOURCE_NOT_VERIFIED,D,"The primary paper's Golden_5 row reports 202,505 QUBO qubits; the instance yielding 14,528 was not verified.",slide-described quadratic encoding width,CVRP,10.48550/arXiv.2509.11469,SOURCE_NOT_VERIFIED
