paper_id,problem,instance_or_scope,formulation_or_encoding,binary_variables_or_problem_size,circuit_width_qubits,circuit_depth,depth_definition,gate_or_volume_metric,shots_or_runs,hardware_or_backend,source_location,extraction_status,notes,width_numeric_recomputed,included_in_width_plot,width_extraction_reason
cvrp-2025-onah-utility,CVRP,Golden_5,HOBO/direct encoding,Golden_5; n=200; vehicles=5; capacity=900,7685 qubits,38425,Depth(N); asymptotic per-layer two-qubit gate depth estimate for HOBO/QAOA,Quantum Vol.=295296125; error rate=3.3e-09; qubit/gate feasibility lines,,resource estimation,cvrp-2025-onah-utility Table 3; Fig. 1; Table 1,extracted,"Table 3 reports HOBO qubits, Depth(N), quantum volume, and error rate for Golden_5. Depth and volume rely on asymptotic assumptions.",7685.0,True,numeric qubit count at start of circuit_width_qubits
cvrp-2025-onah-utility,CVRP,Golden_5,QUBO,Golden_5; n=200; vehicles=5; capacity=900,202505 qubits,,not reported as Golden_5 QUBO depth in Table 3,Table 1 gives asymptotic QUBO circuit volume 12N^3; Table 3 reports QUBO qubit count only for this row,,resource estimation,cvrp-2025-onah-utility Table 3; Table 1,extracted,"Table 3 reports Golden_5 QUBO width as 202505 qubits. The Golden_5 Depth(N) and quantum volume columns correspond to the HOBO feasibility calculation, so QUBO depth is left blank.",202505.0,True,numeric qubit count at start of circuit_width_qubits
encoding-2022-glos,TSP,general TSP encoding,QUBO encoding,TSP size N,N^2 qubits,12N,theoretical circuit depth upper bound from Table 1,Circuit volume 12N^3; measurements O(N^3) max W_ij,,theory; numerical study,encoding-2022-glos Table 1; QUBO depth analysis,extracted,TSP-specific theoretical resource bound. QUBO is depth-efficient but width-heavy relative to HOBO.,,False,"not plotted: formula-only, methodology-only, missing, or non-numeric width statement"
encoding-2022-glos,TSP,general TSP encoding,HOBO encoding,TSP size N,N log N qubits,(4C^2 + 3C)N^2,theoretical circuit depth upper bound from Table 1,Circuit volume (4C^2 + 3C)N^3 log N; measurements O(N^2) max W_ij,,theory; numerical study,encoding-2022-glos Table 1; HOBO discussion,extracted,TSP-specific theoretical resource bound. HOBO reduces qubits at the cost of deeper circuits.,,False,"not plotted: formula-only, methodology-only, missing, or non-numeric width statement"
encoding-2022-glos,TSP,general TSP encoding,Mixed QUBO-HOBO encoding,TSP size N,C N^(2-alpha) log N qubits,2 alpha^2 C N^(1+alpha) log^2 N,theoretical circuit depth upper bound from Table 1,Circuit volume 2 alpha^3 N^3 log^3 N; measurements O(N^(3-alpha) log N) max W_ij,,theory; numerical study,encoding-2022-glos Table 1; mixed encoding efficiency section,extracted,"Interpolates between QUBO and HOBO up to polylog factors; use as qubit-depth trade-off background, not CVRP resource value.",,False,"not plotted: formula-only, methodology-only, missing, or non-numeric width statement"
encoding-2022-glos,TSP,general TSP encoding,Enumerating / VQE-oriented encoding,TSP size N,ceil(log(N!)) qubits,Exponential,theoretical depth/resource complexity from Table 1,Circuit volume exponential; measurements O(N) range(W),,theory; numerical study,encoding-2022-glos Table 1; optimal encoding section,extracted,"Width-optimal route enumeration can require exponential terms/depth, so it is not treated as practical QAOA resource value.",,False,"not plotted: formula-only, methodology-only, missing, or non-numeric width statement"
vrp-2020-azad,VRP,"(4,2) instance",edge-based Ising/QAOA encoding,n=4 locations; k=2 vehicles; N=n(n-1),12 qubits,p = 12,QAOA layer depth p,not reported; Qiskit simulation,COBYLA optimizer,IBM Qiskit simulation,vrp-2020-azad Fig. 2; Section V.A,extracted,The paper states N=n*(n-1) qubits and reports sufficient probability for p>=12; Fig. 2 shows p=12.,12.0,True,numeric qubit count at start of circuit_width_qubits
vrp-2020-azad,VRP,"(5,2) instance",edge-based Ising/QAOA encoding,n=5 locations; k=2 vehicles; N=n(n-1),20 qubits,p = 6 to 40,QAOA layer depth p search range,not reported; Qiskit simulation,COBYLA; Nelder-Mead; L-BFGS-B optimizers,IBM Qiskit simulation,vrp-2020-azad Section V.B; Figs. 5-6,extracted,The paper reports 20 qubits and trials over p=6 to 40. The obtained state was not the optimal one in the shown result.,20.0,True,numeric qubit count at start of circuit_width_qubits
vrp-2020-azad,VRP,"(5,3) instance",edge-based Ising/QAOA encoding,n=5 locations; k=3 vehicles; N=n(n-1),20 qubits,p = 24,QAOA layer depth p,not reported; Qiskit simulation,COBYLA optimizer,IBM Qiskit simulation,vrp-2020-azad Fig. 3; Section V.C,extracted,The paper reports 20 qubits and sufficient probability for p>=24; Fig. 3 shows p=24 for top feasible solutions.,20.0,True,numeric qubit count at start of circuit_width_qubits
vrp-2025-azfar-arxiv,VRP,3-node 2-vehicle instance,edge-based link QUBO / QAOA,3 nodes; 2 vehicles; N=6 binary variables,6 qubits,p = 2,QAOA layer depth p; hardware-transpiled gate counts reported,213 RZ gates; 104 RX gates; 43 echoed cross-resonance gates (CNOT); 11 Pauli-X gates,hybrid optimization about 14 min; final sampling 10000 shots about 15 s,IBM-Rensselaer Eagle r3; IBM Quantum System One; 127-qubit backend,vrp-2025-azfar-arxiv Section 4.1-4.3; Fig. 4,extracted,"Binary variables are directly mapped to qubits. This is the successful small hardware instance; depth is QAOA p, while gate counts are after transpilation.",6.0,True,numeric qubit count at start of circuit_width_qubits
vrp-2025-azfar-arxiv,VRP,4-node instance,edge-based link QUBO / QAOA,4 nodes; depth p=2 scale test,14 qubits,p = 2,QAOA layer depth p; transpiled circuit gate counts reported,3207 RZ gates; 1642 RX gates; 928 echoed cross-resonance gates; 214 Pauli-X gates,run took over 2 hours on quantum computer; top 10 sampled states infeasible,IBM-Rensselaer Eagle r3; IBM Quantum System One,vrp-2025-azfar-arxiv Section 4.3,extracted,The paper uses this as evidence that larger p=2 instances become impractical and infeasible under hardware noise.,14.0,True,numeric qubit count at start of circuit_width_qubits
vrp-2025-azfar-arxiv,VRP,5-node instance,edge-based link QUBO / QAOA,5 nodes; depth p=2 scale test,30 qubits,p = 2,QAOA layer depth p; transpiled total basic gates reported,about 30000 basic gates; two-qubit gate depth discussed as noise-accumulation measure,not reported for this scale row,IBM-Rensselaer target transpilation; hardware practicality limited,vrp-2025-azfar-arxiv Section 4.3; Figs. 8-10,extracted,The row is a scale warning rather than a successful solved instance; total gates increase rapidly with problem size.,30.0,True,numeric qubit count at start of circuit_width_qubits
cvrp-2023-xie,CVRP,general N-customer CVRP AOA encoding,feasibility-preserving AOA with decision and ancilla registers,"N customers; capacity Q; registers x,y,a,d,c,r",2N^2 + ceil(log2(Q+max(q)+1)) - 2 qubits,p pairs,AOA/QAOA-style phase separation and mixing depth p,phase separation O(N^2(log2 Q)^2); mixing O(N^3); total O(pN^2(N+(log2 Q)^2)) gates; many MCT gates,Qiskit statevector simulator; COBYLA optimizer,Qiskit statevector simulator,cvrp-2023-xie Section IV.F; Section V.A; Fig. 6,extracted,"Width is derived from the described register structure; OCR around Eq. 25 is ambiguous, but the register sum implies +ceil(log2(Q+max(q)+1))-2. Not a hardware-transpiled depth.",,False,"not plotted: formula-only, methodology-only, missing, or non-numeric width statement"
cvrp-2023-xie,CVRP,4-customer P1/P2 and 3-customer P3s experiments,feasibility-preserving AOA with Grover mixer,P1/P2: 4-customer instances; P3s: 48 random 3-customer instances,formula-based; see general N-customer row,depth = 1 to 9,AOA circuit depth; repeated phase separation and mixing pairs,depth-1 Table I reports feasibility ratio 1 for proposed encoding vs near-zero QUBO baseline; depth 1-9 improves P3s optimality,statevector probabilities; COBYLA optimizer,Qiskit statevector simulator,cvrp-2023-xie Figs. 7-10; Table I,extracted,"Experimental depth is algorithmic depth, not physical circuit depth. The paper questions NISQ suitability due to MCT gates and bit-flip noise.",,False,"not plotted: formula-only, methodology-only, missing, or non-numeric width statement"
cvrp-2023-palackal,CVRP / TSP decomposition,4-node TSP subproblem,clustering + TSP; QAOA and hardware-efficient VQE,4-node TSP derived from CVRP blue cycle,9 qubits,p = 5,QAOA layer depth p; VQE hardware-efficient ansatz also tested,VQE ansatz has 27 parameters; Table II uses 50 runs; QAOA Table IV reports poor feasibility,statevector simulator; QASM simulator for feasibility plots; selected VQE hardware runs,IBM statevector simulator; QASM simulator on IBM cloud; 27-qubit IBM system in Ehningen for selected VQE,cvrp-2023-palackal Section IV; Table I; Table II; Table IV,extracted,This is not a direct full-CVRP circuit resource row; it is a TSP subproblem after CVRP clustering. QAOA p=5 did not reliably produce feasible TSP solutions.,9.0,True,numeric qubit count at start of circuit_width_qubits
cvrp-2023-palackal,CVRP / TSP decomposition,5-node TSP subproblem,clustering + TSP; QAOA and hardware-efficient VQE,5-node TSP derived from CVRP blue cycle,16 qubits,p = 5,QAOA layer depth p; VQE hardware-efficient ansatz also tested,VQE ansatz parameter count 3(n-1)^2 = 48; feasibility transition discussed around 97-98% optimal energy,50 individual VQE runs per optimizer in Table II; QAOA optimizer tests,IBM statevector simulator; QASM simulator on IBM cloud,cvrp-2023-palackal Section IV; Table I; Table II; Table III,extracted,TSP subproblem resource row. The paper uses it to show feasibility/penalty sensitivity and QAOA limitations.,16.0,True,numeric qubit count at start of circuit_width_qubits
cvrp-2023-palackal,CVRP / TSP decomposition,6-node TSP subproblem,clustering + TSP; QAOA and hardware-efficient VQE,6-node TSP derived from CVRP blue cycle,25 qubits,p = 5,QAOA layer depth p; VQE hardware-efficient ansatz also tested,VQE ansatz parameter count 3(n-1)^2 = 75; runtime constraints noted for 6-node simulator runs,50 attempts for QASM feasibility plots; some 6-node runs failed due to runtime constraints,IBM statevector simulator; QASM simulator on IBM cloud,cvrp-2023-palackal Section IV; Fig. 3; Table II,extracted,TSP subproblem resource row. This row supports workflow/runtime and feasibility-gap discussion rather than direct CVRP scaling.,25.0,True,numeric qubit count at start of circuit_width_qubits
