slide_number,slide_title,raw_extracted_text
11,Scenario Construction and Data,"Scenario Construction and Data | Open data defined spatial and technical conditions; demand, routing, and operational outcomes remained synthetic or proxied. | Open Data Inputs Used | • e-Stat Tokyo population mesh | • Open Charge Map records clipped to Tokyo | • National Land Numerical Information: Logistics Facilities Data | • Publicly available vehicle-specification data | Scenario Design Summary | Dimension | Current Setting | Customers | 25, 50, 100 | Vehicles | 1, 3, 5 | Charger conditions | Conservative, Balanced, Broad | Scenario configurations | 27 | Independent seeds | 100 | Conditional evaluations | 2,700 | Customer demand, service times, route proxies, and operational outcomes are generated for exploratory analysis and do not represent observed delivery operations."
12,Generated Scenario and Route Proxy,"Generated Scenario and Route Proxy | We constructed a common route proxy to compare how customer configurations and vehicle assignments affect the evaluated operational constraints. | Customer Sampling | population-weighted | synthetic locations | Vehicle Assignment | KMeans-based | route grouping | Visit Order Proxy | nearest-neighbor | sequence | Distance Proxy | Haversine distance | × road multiplier | Charger Access | nearest retained | charger candidate | Note: This is not an optimized EVRP solution, observed delivery route, or actual road-network route."
13,What the Constraint Results Imply for Modeling,What the Constraint Results Imply for Modeling | The analysis identifies which application conditions may need to be represented before formulation and resource estimation. | Constraint | Provisional Result | Modeling Implication | Payload | 0.0% unmet | Capacity was not binding under current demand assumptions | Operating time | 33.5% unmet | Time and service duration should be represented | Range | 64.4% unmet | EV range cannot be omitted from the model | SOC | Not evaluated | Sequential SOC modeling is required | Charging access | 10.7% unmet | Geographic access alone is insufficient | Charging-assisted range | 33.3% unmet | Charging support changes feasibility | Charging duration | 15.3% unmet | Charger power and duration conditions matter | Interpretation: model-conditional unmet rates are not observed failures; they are signals for deciding which constraints require explicit representation.
14,Variation Across Scenarios and One-at-a-Time Parameter Changes,"Variation Across Scenarios and One-at-a-Time Parameter Changes | Quantum-resource estimates may depend strongly on application assumptions such as fleet size, usable range, service time, and route-distance representation. | High Response to Parameter Changes | • Operating-time limit | • Range feasibility | • Charging-assisted range | • Charging-duration feasibility | Lower Response Under Current Assumptions | • Payload capacity | • Charging-station access | Not Yet Assessable | • SOC feasibility requires sequential state-of-charge modeling | Main implication: before comparing qubit counts or resource estimates, assumptions about vehicle count, usable range, service time, and route-distance representation must be made explicit and comparable."
15,Comparison with Current Quantum-VRP Evidence,"Comparison with Current Quantum-VRP Evidence | Current quantum-VRP studies do not yet provide a consistent basis for application evaluation because scale, operational representation, and validation evidence are not aligned across studies. | Scale Coverage | Customer, vehicle, and route-candidate scales vary considerably across studies. | Comparable scale indicators are needed. | Constraint Representation | Core routing constraints are partially represented; EV-specific constraints remain limited. | Requirement representation should be separated from validation. | Validation Evidence | Evaluation modalities differ across formulation, simulation, hardware execution, and resource estimation. | Evidence type and comparison basis must be reported. | Representation of a requirement does not necessarily mean that it has been validated under operationally representative conditions."
16,Research Contribution and Next Stage,"Research Contribution and Next Stage | Contribution: This study shifts the question from “How many qubits does a published instance require?” to “What application requirements must first be represented for that qubit estimate to be meaningful?” | Direction A: Increase Operational Realism | • Road-network distances | • Observed or calibrated demand | • Time windows, SOC, and charging dynamics | • Classical optimization baseline | • Operational validation | Direction B: Develop the Application-Stage Framework | • Problem instances and required constraints | • Formulation-specific resource implications | • Expected quantum-technology stages | • Staged quantum utility | • Adjacent transport technologies and expert expectations | Operational grounding informs the application-stage framework. | How should these two directions be connected in the next research stage?"
17,Appendix A: Detailed Open-Data Inputs,"Appendix A: Detailed Open-Data Inputs | Input | Records Used | Analytical Role | Key Limitation | e-Stat Tokyo population mesh | 5,448 mesh cells | Population weights for synthetic customer sampling and spatial context | Not observed customer demand or delivery records | Open Charge Map records clipped to Tokyo | 137 charger-connection records | Charger candidate screening and nearest-candidate distance | Not real-time availability, queues, or actual charger use | National Land Numerical Information: Logistics Facilities Data | 440 depot candidates | Candidate depot locations and depot proxy selection | Not actual company depots or operational capacity | Public vehicle-specification data | 10 vehicle records | Battery capacity, catalog range, payload capacity, usable-range assumption | Not observed fleet performance, degradation, or SOC trajectories"
18,Appendix B: Scenario Design and Evaluation Settings,"Appendix B: Scenario Design and Evaluation Settings | Category | Evaluation Dimension | Current Setting | Problem Scale | Number of customers | 25, 50, 100 | Number of vehicles | 1, 3, 5 | Charger-availability condition | Conservative, Balanced, Broad | Operational Assumptions | Usable driving range | 81.2 km | Vehicle payload capacity | 2,000 kg | Operating-time limit | 480 min | Assumed travel speed | 25 km/h | Scenario Design | Factorial scenario structure | 3 × 3 × 3 | Total scenario configurations | 27 | Independent random seeds | 100 | Configurations by customer-count level | 300 | Evaluation Volume | Conditional evaluations | 2,700 | Route-condition evaluations | 8,100 | Synthetic customer records | 17,500 | Bootstrap iterations | 1,000"
19,Appendix C: Detailed Operational-Constraint Evaluation,Appendix C: Detailed Operational-Constraint Evaluation | Constraint | Model-Conditional Unmet Rate | Evaluation Method | Current Basis and Limitation | Payload capacity | 0.0% | Route demand compared with vehicle capacity | Synthetic data with assumed parameters | Operating-time limit | 33.5% | Estimated travel and service duration vs. time limit | Synthetic route proxy with assumed parameters | Range feasibility | 64.4% | Route-proxy distance compared with usable vehicle range | Manufacturer range with assumed usable ratio and route proxy | SOC feasibility | Not evaluated | Not evaluated | Sequential SOC modeling has not yet been implemented | Charging-station access | 10.7% | Distance from route-proxy nodes to retained charger candidates | Public candidate geography with substantial attribute missingness | Charging-assisted range feasibility | 33.3% | Simplified charging support for range-infeasible routes | Simplified proxy with public candidate geography | Charging-duration feasibility | 15.3% | Simplified duration condition using reported charger power | Simplified duration proxy; actual charging behavior not evaluated
20,Appendix D: Variation and One-at-a-Time Parameter Checks,"Appendix D: Variation and One-at-a-Time Parameter Checks | Constraint | Across Customer Configurations | Response to OAT Changes | Main Related Conditions | Payload capacity | Low | Low | Synthetic demand and vehicle capacity | Operating-time limit | Low | High | Vehicle count, customer count, time limit, service time, speed | Range feasibility | Medium | High | Vehicle count, customer count, usable range/SOC reserve, road-distance multiplier | SOC feasibility | Not assessable | Not assessable | Sequential SOC model required | Charging-station access | Low | Low | Charger candidate set and access threshold | Charging-assisted range feasibility | Medium | High | Vehicle count, customer count, usable range/SOC reserve, road-distance multiplier | Charging-duration feasibility | Low | High | Vehicle count, duration limit, customer count"
21,Appendix E: Quantum Routing Studies Reviewed for Circuit-Width Extraction,"Appendix E: Quantum Routing Studies Reviewed for Circuit-Width Extraction | Azad et al. (2020) | Solving Vehicle Routing Problem Using Quantum Approximate Optimization Algorithm. arXiv:2002.01351 | https://arxiv.org/abs/2002.01351 | Palackal et al. (2023) | Quantum-Assisted Solution Paths for the Capacitated Vehicle Routing Problem. arXiv:2304.09629 | https://arxiv.org/abs/2304.09629 | Xie et al. (2023) | A Feasibility-Preserved Quantum Approximate Solver for the Capacitated Vehicle Routing Problem. arXiv:2308.08785 | https://arxiv.org/abs/2308.08785 | Leonidas et al. (2023) | Qubit-Efficient Quantum Algorithms for the Vehicle Routing Problem on NISQ Processors. arXiv:2306.08507 | https://arxiv.org/abs/2306.08507 | Fitzek et al. (2024) | Applying Quantum Approximate Optimization to the Heterogeneous Vehicle Routing Problem. Scientific Reports, 14, 25415 | https://doi.org/10.1038/s41598-024-76967-w | Azfar et al. (2025) | Quantum-Assisted Vehicle Routing: Realizing a QAOA-Based Approach on a Gate-Based Quantum Computer. arXiv:2505.01614 | https://arxiv.org/abs/2505.01614"
22,Appendix F: Methodological Literature and Open Data Sources,"Appendix F: Methodological Literature and Open Data Sources | Methodological and Benchmarking Literature | Lubinski et al. (2021): Application-Oriented Performance Benchmarks for Quantum Computing | https://arxiv.org/abs/2110.03137 | Lubinski et al. (2023): Optimization Applications as Quantum Performance Benchmarks | https://arxiv.org/abs/2302.02278 | Lubinski et al. (2024): Quantum Algorithm Exploration Using Application-Oriented Performance Benchmarks | https://arxiv.org/abs/2402.08985 | Herrmann et al. (2023): Quantum Utility - Definition and Assessment of a Practical Quantum Advantage | https://arxiv.org/abs/2303.02138 | Beverland et al. (2022): Assessing Requirements to Scale to Practical Quantum Advantage | https://arxiv.org/abs/2211.07629 | Onah and Michielsen (2025): Requirements for Early Quantum Advantage and Quantum Utility in the Capacitated Vehicle Routing Problem | https://arxiv.org/abs/2509.11469 | Open Data Sources Used in the Current Analysis | e-Stat: 2020 Population Census: Grid Square Statistics | https://www.e-stat.go.jp/gis/statmap-search?page=1&toukeiCode=00200521&type=1 | Open Charge Map: Open Charge Map API | https://www.openchargemap.org/develop/api | MLIT, Japan: National Land Numerical Information: Logistics Facilities Data (P31) | https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P31.html | Vehicle specifications: Official manufacturer / public specification pages | Source URLs to be verified | Additional Sources Reviewed but Not Used | IEA Global EV Data Explorer; World Bank Logistics Performance Index; OpenStreetMap / Geofabrik Kanto road-network data; ODPT GTFS; JARTIC traffic API; Tokyo traffic volume statistics; Schneider / Goeke E-VRPTW; Mavrovouniotis E-CVRP; CVRPLIB."
