study_id,citation_number,short_citation,paper_title,problem_family,problem_instance_label,problem_instance_scale,problem_instance_unit,vehicle_count,formulation,encoding,reported_circuit_width,width_type,evidence_type,evidence_group,source_file,source_location,raw_source_text,extraction_confidence,plot_label,main_figure_inclusion,slide_inclusion,comparison_key,exclusion_reason
cvrp-2025-onah-utility,7,Onah et al. (2025),Requirements for Early Quantum Utility and Quantum Utility in the Capacitated Vehicle Routing Problem,CVRP,"Golden_5 CVRP, 200 customers / 5 vehicles",200,customers,5,CVRP resource model,HOBO / direct encoding,7685.0,Estimated qubit requirement,Resource estimation,Resource estimation,literature/pdf_derived/text/cvrp-2025-onah-utility.txt,cvrp-2025-onah-utility Table 3; Fig. 1; Table 1,"7685 qubits. Table 3 reports HOBO qubits, Depth(N), quantum volume, and error rate for Golden_5. Depth and volume rely on asymptotic assumptions.",High,"Golden_5 CVRP, 200 customers / 5 vehicles [7]
CVRP resource model / HOBO / direct encoding",True,True,"cvrp-2025-onah-utility|Golden_5 CVRP, 200 customers / 5 vehicles|200|customers",
cvrp-2025-onah-utility,7,Onah et al. (2025),Requirements for Early Quantum Utility and Quantum Utility in the Capacitated Vehicle Routing Problem,CVRP,"Golden_5 CVRP, 200 customers / 5 vehicles",200,customers,5,CVRP resource model,QUBO,202505.0,Estimated qubit requirement,Resource estimation,Resource estimation,literature/pdf_derived/text/cvrp-2025-onah-utility.txt,cvrp-2025-onah-utility Table 3; Table 1,"202505 qubits. Table 3 reports Golden_5 QUBO width as 202505 qubits. The Golden_5 Depth(N) and quantum volume columns correspond to the HOBO feasibility calculation, so QUBO depth is left blank.",High,"Golden_5 CVRP, 200 customers / 5 vehicles [7]
CVRP resource model / QUBO",True,True,"cvrp-2025-onah-utility|Golden_5 CVRP, 200 customers / 5 vehicles|200|customers",
encoding-2022-glos,,2022,Space-efficient binary optimization for variational quantum computing,TSP,General N-city TSP,N,cities,,TSP binary optimization,QUBO,,Width type unclear,Formulation only,Excluded / background,literature/pdf_derived/text/266_20260622_encoding_2022_glos.txt,encoding-2022-glos Table 1; QUBO depth analysis,N^2 qubits. TSP-specific theoretical resource bound. QUBO is depth-efficient but width-heavy relative to HOBO.,Medium,"General N-city TSP [not assigned]
TSP binary optimization / QUBO",False,False,,numeric reported circuit width; recognizable application-instance label; eligible empirical evidence type; citation in the bounded quantum-VRP registry
encoding-2022-glos,,2022,Space-efficient binary optimization for variational quantum computing,TSP,General N-city TSP,N,cities,,TSP binary optimization,HOBO,,Width type unclear,Formulation only,Excluded / background,literature/pdf_derived/text/266_20260622_encoding_2022_glos.txt,encoding-2022-glos Table 1; HOBO discussion,N log N qubits. TSP-specific theoretical resource bound. HOBO reduces qubits at the cost of deeper circuits.,Medium,"General N-city TSP [not assigned]
TSP binary optimization / HOBO",False,False,,numeric reported circuit width; recognizable application-instance label; eligible empirical evidence type; citation in the bounded quantum-VRP registry
encoding-2022-glos,,2022,Space-efficient binary optimization for variational quantum computing,TSP,General N-city TSP,N,cities,,TSP binary optimization,HOBO,,Width type unclear,Formulation only,Excluded / background,literature/pdf_derived/text/266_20260622_encoding_2022_glos.txt,encoding-2022-glos Table 1; mixed encoding efficiency section,"C N^(2-alpha) log N qubits. Interpolates between QUBO and HOBO up to polylog factors; use as qubit-depth trade-off background, not CVRP resource value.",Medium,"General N-city TSP [not assigned]
TSP binary optimization / HOBO",False,False,,numeric reported circuit width; recognizable application-instance label; eligible empirical evidence type; citation in the bounded quantum-VRP registry
encoding-2022-glos,,2022,Space-efficient binary optimization for variational quantum computing,TSP,General N-city TSP,N,cities,,TSP binary optimization,enumerating / VQE-oriented,,Width type unclear,Formulation only,Excluded / background,literature/pdf_derived/text/266_20260622_encoding_2022_glos.txt,encoding-2022-glos Table 1; optimal encoding section,"ceil(log(N!)) qubits. Width-optimal route enumeration can require exponential terms/depth, so it is not treated as practical QAOA resource value.",Medium,"General N-city TSP [not assigned]
TSP binary optimization / enumerating / VQE-oriented",False,False,,numeric reported circuit width; recognizable application-instance label; eligible empirical evidence type; citation in the bounded quantum-VRP registry
vrp-2020-azad,1,Azad et al. (2020),Solving Vehicle Routing Problem Using Quantum Approximate Optimization Algorithm,VRP,"4-location VRP, 2 vehicles",4,locations,2,edge-based Ising,QAOA,12.0,Reported circuit qubits,Quantum simulation,Quantum / classical simulation,literature/pdf_derived/text/275_20260622_vrp_2020_azad.txt,vrp-2020-azad Fig. 2; Section V.A,12 qubits. The paper states N=n*(n-1) qubits and reports sufficient probability for p>=12; Fig. 2 shows p=12.,High,"4-location VRP, 2 vehicles [1]
edge-based Ising / QAOA",True,False,"vrp-2020-azad|4-location VRP, 2 vehicles|4|locations",
vrp-2020-azad,1,Azad et al. (2020),Solving Vehicle Routing Problem Using Quantum Approximate Optimization Algorithm,VRP,"5-location VRP, 2 vehicles",5,locations,2,edge-based Ising,QAOA,20.0,Reported circuit qubits,Quantum simulation,Quantum / classical simulation,literature/pdf_derived/text/275_20260622_vrp_2020_azad.txt,vrp-2020-azad Section V.B; Figs. 5-6,20 qubits. The paper reports 20 qubits and trials over p=6 to 40. The obtained state was not the optimal one in the shown result.,High,"5-location VRP, 2 vehicles [1]
edge-based Ising / QAOA",True,False,"vrp-2020-azad|5-location VRP, 2 vehicles|5|locations",
vrp-2020-azad,1,Azad et al. (2020),Solving Vehicle Routing Problem Using Quantum Approximate Optimization Algorithm,VRP,"5-location VRP, 3 vehicles",5,locations,3,edge-based Ising,QAOA,20.0,Reported circuit qubits,Quantum simulation,Quantum / classical simulation,literature/pdf_derived/text/275_20260622_vrp_2020_azad.txt,vrp-2020-azad Fig. 3; Section V.C,20 qubits. The paper reports 20 qubits and sufficient probability for p>=24; Fig. 3 shows p=24 for top feasible solutions.,High,"5-location VRP, 3 vehicles [1]
edge-based Ising / QAOA",True,False,"vrp-2020-azad|5-location VRP, 3 vehicles|5|locations",
vrp-2025-azfar-arxiv,6,Azfar et al. (2025),Quantum-Assisted Vehicle Routing: Realizing QAOA-based Approach on Gate-Based Quantum Computer,VRP,"3-node VRP, 2 vehicles",3,nodes,2,link-based QUBO,QAOA,6.0,Reported circuit qubits,Hardware execution,Hardware execution,literature/pdf_derived/text/276_20260622_vrp_2025_azfar_arxiv.txt,vrp-2025-azfar-arxiv Section 4.1-4.3; Fig. 4,"6 qubits. Binary variables are directly mapped to qubits. This is the successful small hardware instance; depth is QAOA p, while gate counts are after transpilation.",High,"3-node VRP, 2 vehicles [6]
link-based QUBO / QAOA",True,True,"vrp-2025-azfar-arxiv|3-node VRP, 2 vehicles|3|nodes",
vrp-2025-azfar-arxiv,6,Azfar et al. (2025),Quantum-Assisted Vehicle Routing: Realizing QAOA-based Approach on Gate-Based Quantum Computer,VRP,4-node VRP,4,nodes,,link-based QUBO,QAOA,14.0,Reported circuit qubits,Hardware execution,Hardware execution,literature/pdf_derived/text/276_20260622_vrp_2025_azfar_arxiv.txt,vrp-2025-azfar-arxiv Section 4.3,14 qubits. The paper uses this as evidence that larger p=2 instances become impractical and infeasible under hardware noise.,High,"4-node VRP [6]
link-based QUBO / QAOA",True,False,vrp-2025-azfar-arxiv|4-node VRP|4|nodes,
vrp-2025-azfar-arxiv,6,Azfar et al. (2025),Quantum-Assisted Vehicle Routing: Realizing QAOA-based Approach on Gate-Based Quantum Computer,VRP,5-node VRP,5,nodes,,link-based QUBO,QAOA,30.0,Reported circuit qubits,Hardware-targeted analysis,Hardware-aware / hardware-targeted analysis,literature/pdf_derived/text/276_20260622_vrp_2025_azfar_arxiv.txt,vrp-2025-azfar-arxiv Section 4.3; Figs. 8-10,30 qubits. The row is a scale warning rather than a successful solved instance; total gates increase rapidly with problem size.,High,"5-node VRP [6]
link-based QUBO / QAOA",True,True,vrp-2025-azfar-arxiv|5-node VRP|5|nodes,
cvrp-2023-xie,4,Xie et al. (2023),A Feasibility-Preserved Quantum Approximate Solver for the Capacitated Vehicle Routing Problem,CVRP,General N-customer CVRP,N,customers,,feasibility-preserving AOA,decision + ancilla registers,,Width type unclear,Quantum simulation,Quantum / classical simulation,literature/pdf_derived/text/264_20260622_cvrp_2023_xie.txt,cvrp-2023-xie Section IV.F; Section V.A; Fig. 6,"2N^2 + ceil(log2(Q+max(q)+1)) - 2 qubits. Width is derived from the described register structure; OCR around Eq. 25 is ambiguous, but the register sum implies +ceil(log2(Q+max(q)+1))-2. Not a hardware-transpiled depth.",Low,"General N-customer CVRP [4]
feasibility-preserving AOA / decision + ancilla registers",False,False,,numeric reported circuit width
cvrp-2023-xie,4,Xie et al. (2023),A Feasibility-Preserved Quantum Approximate Solver for the Capacitated Vehicle Routing Problem,CVRP,3–4-customer CVRP experiments,3–4,customers,,feasibility-preserving AOA,Grover mixer,,Width type unclear,Quantum simulation,Quantum / classical simulation,literature/pdf_derived/text/264_20260622_cvrp_2023_xie.txt,cvrp-2023-xie Figs. 7-10; Table I,"formula-based; see general N-customer row. Experimental depth is algorithmic depth, not physical circuit depth. The paper questions NISQ suitability due to MCT gates and bit-flip noise.",Medium,"3–4-customer CVRP experiments [4]
feasibility-preserving AOA / Grover mixer",False,False,,numeric reported circuit width
cvrp-2023-palackal,2,Palackal et al. (2023),Quantum-Assisted Solution Paths for the Capacitated Vehicle Routing Problem,CVRP / TSP decomposition,4-node TSP subproblem,4,nodes,,CVRP clustering + TSP-QUBO,QAOA / VQE ansätze,9.0,Reported circuit qubits,Hardware execution,Hardware execution,literature/pdf_derived/text/263_20260622_cvrp_2023_palackal.txt,cvrp-2023-palackal Section IV; Table I; Table II; Table IV,9 qubits. This is not a direct full-CVRP circuit resource row; it is a TSP subproblem after CVRP clustering. QAOA p=5 did not reliably produce feasible TSP solutions.,High,"4-node TSP subproblem [2]
CVRP clustering + TSP-QUBO / QAOA / VQE ansätze",True,False,cvrp-2023-palackal|4-node TSP subproblem|4|nodes,
cvrp-2023-palackal,2,Palackal et al. (2023),Quantum-Assisted Solution Paths for the Capacitated Vehicle Routing Problem,CVRP / TSP decomposition,5-node TSP subproblem,5,nodes,,CVRP clustering + TSP-QUBO,QAOA / VQE ansätze,16.0,Reported circuit qubits,Quantum simulation,Quantum / classical simulation,literature/pdf_derived/text/263_20260622_cvrp_2023_palackal.txt,cvrp-2023-palackal Section IV; Table I; Table II; Table III,16 qubits. TSP subproblem resource row. The paper uses it to show feasibility/penalty sensitivity and QAOA limitations.,High,"5-node TSP subproblem [2]
CVRP clustering + TSP-QUBO / QAOA / VQE ansätze",True,False,cvrp-2023-palackal|5-node TSP subproblem|5|nodes,
cvrp-2023-palackal,2,Palackal et al. (2023),Quantum-Assisted Solution Paths for the Capacitated Vehicle Routing Problem,CVRP / TSP decomposition,6-node TSP subproblem,6,nodes,,CVRP clustering + TSP-QUBO,QAOA / VQE ansätze,25.0,Reported circuit qubits,Quantum simulation,Quantum / classical simulation,literature/pdf_derived/text/263_20260622_cvrp_2023_palackal.txt,cvrp-2023-palackal Section IV; Fig. 3; Table II,25 qubits. TSP subproblem resource row. This row supports workflow/runtime and feasibility-gap discussion rather than direct CVRP scaling.,High,"6-node TSP subproblem [2]
CVRP clustering + TSP-QUBO / QAOA / VQE ansätze",True,True,cvrp-2023-palackal|6-node TSP subproblem|6|nodes,
