Plot label,Reported width,Width type,Evidence type,Source file,"Source page, table, cell, or Notebook cell",Raw supporting text,Citation number,Included in full figure,Included in slide figure,Exclusion reason,Inclusion or exclusion status
"5-location VRP, 2 vehicles [1]
edge-based Ising / QAOA",20.0,Reported circuit qubits,Quantum simulation,literature/pdf_derived/text/275_20260622_vrp_2020_azad.txt,vrp-2020-azad Section V.B; Figs. 5-6,20 qubits. The paper reports 20 qubits and trials over p=6 to 40. The obtained state was not the optimal one in the shown result.,1,True,False,,Included — full only
"5-location VRP, 3 vehicles [1]
edge-based Ising / QAOA",20.0,Reported circuit qubits,Quantum simulation,literature/pdf_derived/text/275_20260622_vrp_2020_azad.txt,vrp-2020-azad Fig. 3; Section V.C,20 qubits. The paper reports 20 qubits and sufficient probability for p>=24; Fig. 3 shows p=24 for top feasible solutions.,1,True,False,,Included — full only
"3-node VRP, 2 vehicles [6]
link-based QUBO / QAOA",6.0,Reported circuit qubits,Hardware execution,literature/pdf_derived/text/276_20260622_vrp_2025_azfar_arxiv.txt,vrp-2025-azfar-arxiv Section 4.1-4.3; Fig. 4,"6 qubits. Binary variables are directly mapped to qubits. This is the successful small hardware instance; depth is QAOA p, while gate counts are after transpilation.",6,True,True,,Included — full and slide
"4-node VRP [6]
link-based QUBO / QAOA",14.0,Reported circuit qubits,Hardware execution,literature/pdf_derived/text/276_20260622_vrp_2025_azfar_arxiv.txt,vrp-2025-azfar-arxiv Section 4.3,14 qubits. The paper uses this as evidence that larger p=2 instances become impractical and infeasible under hardware noise.,6,True,False,,Included — full only
"5-node VRP [6]
link-based QUBO / QAOA",30.0,Reported circuit qubits,Hardware-targeted analysis,literature/pdf_derived/text/276_20260622_vrp_2025_azfar_arxiv.txt,vrp-2025-azfar-arxiv Section 4.3; Figs. 8-10,30 qubits. The row is a scale warning rather than a successful solved instance; total gates increase rapidly with problem size.,6,True,True,,Included — full and slide
"General N-customer CVRP [4]
feasibility-preserving AOA / decision + ancilla registers",,Width type unclear,Quantum simulation,literature/pdf_derived/text/264_20260622_cvrp_2023_xie.txt,cvrp-2023-xie Section IV.F; Section V.A; Fig. 6,"2N^2 + ceil(log2(Q+max(q)+1)) - 2 qubits. Width is derived from the described register structure; OCR around Eq. 25 is ambiguous, but the register sum implies +ceil(log2(Q+max(q)+1))-2. Not a hardware-transpiled depth.",4,False,False,numeric reported circuit width,Excluded
"3–4-customer CVRP experiments [4]
feasibility-preserving AOA / Grover mixer",,Width type unclear,Quantum simulation,literature/pdf_derived/text/264_20260622_cvrp_2023_xie.txt,cvrp-2023-xie Figs. 7-10; Table I,"formula-based; see general N-customer row. Experimental depth is algorithmic depth, not physical circuit depth. The paper questions NISQ suitability due to MCT gates and bit-flip noise.",4,False,False,numeric reported circuit width,Excluded
"4-node TSP subproblem [2]
CVRP clustering + TSP-QUBO / QAOA / VQE ansätze",9.0,Reported circuit qubits,Hardware execution,literature/pdf_derived/text/263_20260622_cvrp_2023_palackal.txt,cvrp-2023-palackal Section IV; Table I; Table II; Table IV,9 qubits. This is not a direct full-CVRP circuit resource row; it is a TSP subproblem after CVRP clustering. QAOA p=5 did not reliably produce feasible TSP solutions.,2,True,False,,Included — full only
"5-node TSP subproblem [2]
CVRP clustering + TSP-QUBO / QAOA / VQE ansätze",16.0,Reported circuit qubits,Quantum simulation,literature/pdf_derived/text/263_20260622_cvrp_2023_palackal.txt,cvrp-2023-palackal Section IV; Table I; Table II; Table III,16 qubits. TSP subproblem resource row. The paper uses it to show feasibility/penalty sensitivity and QAOA limitations.,2,True,False,,Included — full only
"6-node TSP subproblem [2]
CVRP clustering + TSP-QUBO / QAOA / VQE ansätze",25.0,Reported circuit qubits,Quantum simulation,literature/pdf_derived/text/263_20260622_cvrp_2023_palackal.txt,cvrp-2023-palackal Section IV; Fig. 3; Table II,25 qubits. TSP subproblem resource row. This row supports workflow/runtime and feasibility-gap discussion rather than direct CVRP scaling.,2,True,True,,Included — full and slide
