variable_id,source_id,country,city,year,variable_name,value,unit,spatial_level,temporal_level,analysis_axis,use_case_relevance,processing_rule,limitation,source_url,local_raw_path,status
gtfs_stops_tokyo,gtfs_city,Japan,Tokyo,2026,gtfs stops tokyo,5370,stops,city,static feed,Smart city data readiness,Static mobility-data availability for the Tokyo subcase.,Number of stops in the Toei Bus GTFS feed.,"Stops are public transit stops, not delivery customers.",https://ckan.odpt.org/dataset,03_data/raw/smart_city/gtfs/tokyo/toei_bus_gtfs_2026-07-04.zip,extracted
gtfs_trips_tokyo,gtfs_city,Japan,Tokyo,2026,gtfs trips tokyo,68022,trips,city,static feed,Smart city data readiness,Static mobility-data availability for the Tokyo subcase.,Number of scheduled trips in the Toei Bus GTFS feed. Calendar range: 20260704-20290703.,"Scheduled transit trips indicate data richness, not EV delivery operations.",https://ckan.odpt.org/dataset,03_data/raw/smart_city/gtfs/tokyo/toei_bus_gtfs_2026-07-04.zip,extracted
gtfs_stop_times_tokyo,gtfs_city,Japan,Tokyo,2026,gtfs stop times tokyo,1304152,stop_time records,city,static feed,Smart city data readiness,Static mobility-data availability for the Tokyo subcase.,Number of stop_time records in the Toei Bus GTFS feed.,"Large stop_time count indicates detailed static schedule data, not real-time traffic.",https://ckan.odpt.org/dataset,03_data/raw/smart_city/gtfs/tokyo/toei_bus_gtfs_2026-07-04.zip,extracted
jartic_tokyo_traffic_observation_points_snapshot,jartic_traffic_api,Japan,Tokyo,2026,JARTIC Tokyo traffic observation points,33,points,Tokyo bounding box / national-road observation points,hourly snapshot,Traffic intensity proxy,Optional dynamic-dispatch and travel-cost-uncertainty context for the Tokyo subcase.,Counted features returned by JARTIC t_travospublic_measure_1h for road type 3 inside Tokyo bounding box.,"JARTIC traffic-volume API covers national-road observation points in the Tokyo bounding box; it is a traffic-intensity proxy and does not provide delivery routes, customer demand, depot locations, or EV charging behavior.",https://www.jartic-open-traffic.org/,03_data/raw/smart_city/traffic/jartic/tokyo/jartic_tokyo_traffic_1h_202607042200.json,extracted
jartic_tokyo_total_hourly_traffic_snapshot,jartic_traffic_api,Japan,Tokyo,2026,JARTIC Tokyo total hourly traffic,43710,vehicles per hour across returned observation points,Tokyo bounding box / national-road observation points,hourly snapshot,Traffic intensity proxy,Optional dynamic-dispatch and travel-cost-uncertainty context for the Tokyo subcase.,"Summed up/down small, large, and unknown vehicle counts across returned observation points.","JARTIC traffic-volume API covers national-road observation points in the Tokyo bounding box; it is a traffic-intensity proxy and does not provide delivery routes, customer demand, depot locations, or EV charging behavior.",https://www.jartic-open-traffic.org/,03_data/raw/smart_city/traffic/jartic/tokyo/jartic_tokyo_traffic_1h_202607042200.json,extracted
jartic_tokyo_mean_hourly_traffic_per_point_snapshot,jartic_traffic_api,Japan,Tokyo,2026,JARTIC Tokyo mean hourly traffic per observation point,1324.545,vehicles per hour per point,Tokyo bounding box / national-road observation points,hourly snapshot,Traffic intensity proxy,Optional dynamic-dispatch and travel-cost-uncertainty context for the Tokyo subcase.,Total hourly traffic divided by returned observation-point count.,"JARTIC traffic-volume API covers national-road observation points in the Tokyo bounding box; it is a traffic-intensity proxy and does not provide delivery routes, customer demand, depot locations, or EV charging behavior.",https://www.jartic-open-traffic.org/,03_data/raw/smart_city/traffic/jartic/tokyo/jartic_tokyo_traffic_1h_202607042200.json,extracted
jartic_tokyo_heavy_vehicle_share_snapshot,jartic_traffic_api,Japan,Tokyo,2026,JARTIC Tokyo heavy-vehicle share,0.0656,share,Tokyo bounding box / national-road observation points,hourly snapshot,Traffic intensity proxy,Optional dynamic-dispatch and travel-cost-uncertainty context for the Tokyo subcase.,Summed up/down large-vehicle counts divided by total traffic across returned observation points.,"JARTIC traffic-volume API covers national-road observation points in the Tokyo bounding box; it is a traffic-intensity proxy and does not provide delivery routes, customer demand, depot locations, or EV charging behavior.",https://www.jartic-open-traffic.org/,03_data/raw/smart_city/traffic/jartic/tokyo/jartic_tokyo_traffic_1h_202607042200.json,extracted
tokyo_n03_boundary_area_km2,mlit_n03_tokyo_boundary,Japan,Tokyo,2024,Tokyo official boundary area,2198.809,square kilometers,Tokyo prefecture boundary polygons,2024 boundary,Tokyo scope definition,Defines the spatial scope for Tokyo public-data proxies.,Sum polygon area after projecting N03 Tokyo GeoJSON to EPSG:6677.,Administrative area does not measure routing demand or EV operation.,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N03-2024.html,03_data/raw/boundary/mlit_n03_tokyo/328_20240101_v02_n03_20240101_13_gml.zip,extracted
estat_tokyo_mesh_total_population,estat_tokyo_mesh_population,Japan,Tokyo,2020,Tokyo mesh total population,14047594.0,persons,Tokyo grid-square mesh,2020 census,Demand concentration proxy,Proxy for potential customer-node density in Tokyo EV last-mile routing.,Sum T001101001 total population across Tokyo mesh rows.,"Population is not parcel demand, delivery stops, depot locations, or vehicle routes.",https://www.e-stat.go.jp/gis/statmap-search?page=1&toukeiCode=00200521&type=1,03_data/raw/estat/tokyo_mesh/327_20260705_v02_tblt001101h13.zip,extracted
estat_tokyo_populated_mesh_cells,estat_tokyo_mesh_population,Japan,Tokyo,2020,Tokyo populated mesh cells,5448.0,mesh cells,Tokyo grid-square mesh,2020 census,Demand concentration proxy,Indicates spatial granularity available for synthetic customer-node placement.,Count mesh rows with T001101001 total population greater than zero.,"Mesh count is spatial granularity, not actual delivery-node count.",https://www.e-stat.go.jp/gis/statmap-search?page=1&toukeiCode=00200521&type=1,03_data/raw/estat/tokyo_mesh/327_20260705_v02_tblt001101h13.zip,extracted
tokyo_police_border_24h_traffic,tokyo_police_traffic_statistics,Japan,Tokyo,2024,Tokyo border 24-hour traffic in selected police statistics file,6454577.0,vehicles per 24 hours across representative border observations,Tokyo border observation points,periodic traffic survey,Traffic intensity proxy,Static context for congestion and travel-cost uncertainty in the Tokyo use case.,Sum 24時間計 from 2-2-15jikanbetu_ryuusyutunyuu_zensya.csv.,"Representative traffic statistic, not delivery routes, customer demand, or realtime dispatch.",https://catalog.data.metro.tokyo.lg.jp/dataset/t000022d0000000035,03_data/raw/smart_city/traffic/tokyo_metropolitan_police/02_cyousakekka_csv.zip,extracted
mlit_road_census_tokyo_segments,mlit_road_census_tokyo,Japan,Tokyo,2021,Tokyo road census survey segments,1352.0,survey segments,Tokyo road survey segments,FY2021 road traffic census,Traffic intensity proxy,Road-network observation granularity for Tokyo routing environment complexity.,Count unique prefecture-code and traffic-survey-unit-section combinations.,Survey segment count is not a vehicle fleet size or delivery-customer count.,https://www.mlit.go.jp/road/census/r3/,03_data/raw/smart_city/traffic/mlit_road_census_tokyo/zkntrf13.csv,extracted
mlit_road_census_tokyo_total_24h_traffic,mlit_road_census_tokyo,Japan,Tokyo,2021,Tokyo road census total 24-hour traffic,16358553.0,vehicles per 24 hours across survey rows,Tokyo road survey segments,FY2021 road traffic census,Traffic intensity proxy,Static traffic-volume context for Tokyo routing environment complexity.,Sum non-null ２４時間自動車類交通量（台） values across rows in zkntrf13.csv.,"Only rows with 24-hour observations are included in this sum; it is a traffic-intensity proxy, not EV delivery demand.",https://www.mlit.go.jp/road/census/r3/,03_data/raw/smart_city/traffic/mlit_road_census_tokyo/zkntrf13.csv,extracted
tokyo_logistics_hub_candidates_total,mlit_logistics_hubs_tokyo_p31,Japan,Tokyo,2014,Tokyo logistics hub candidate points,500,points,Tokyo logistics hub points,P31-13 source,Depot candidate proxy,Candidate facility set for synthetic depot placement in Tokyo EV last-mile routing scenarios.,Read MLIT P31 Tokyo shapefile with CP932 encoding and count all point features.,Facility count is a depot-candidate proxy and not observed operator depot usage.,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P31.html,03_data/raw/logistics/mlit_logistics_hubs/323_20260705_v02_p31_13_13.zip,extracted
tokyo_high_relevance_depot_candidate_points,mlit_logistics_hubs_tokyo_p31,Japan,Tokyo,2014,Tokyo high-relevance depot candidate points,440,points,Tokyo logistics hub points,P31-13 source,Depot candidate proxy,"High-relevance depot proxy count based on rail freight, bonded/warehouse, and truck terminal categories.","Count P31 major categories 3, 4, and 5 as high-relevance depot candidate proxies.",Category relevance is a research classification and not evidence that the facility is available to a delivery operator.,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P31.html,03_data/raw/logistics/mlit_logistics_hubs/323_20260705_v02_p31_13_13.zip,extracted
tokyo_mainland_logistics_hub_candidates_proxy,mlit_logistics_hubs_tokyo_p31,Japan,Tokyo,2014,Tokyo mainland logistics hub candidate proxy points,477,points,Tokyo mainland proxy bounding box,P31-13 source,Depot candidate proxy,Approximate mainland-Tokyo candidate set for EV last-mile routing scenarios.,Count points with 35.45 <= latitude <= 35.95 and 138.9 <= longitude <= 140.2.,This is a simple mainland proxy filter; final simulations should clip by official Tokyo boundary if spatial precision matters.,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P31.html,03_data/raw/logistics/mlit_logistics_hubs/323_20260705_v02_p31_13_13.zip,extracted
ev_vehicle_spec_scenario_rows,ev_vehicle_specs_official_sources,Japan,,2026,EV vehicle specification scenario rows,10,vehicle scenario rows,vehicle model,2023-2026 specifications,Vehicle and battery scenario,"Provides battery, range, and payload assumptions for synthetic Tokyo EV delivery simulation.",Manually structured official manufacturer specification values into scenario rows.,Scenario rows are specification-based and do not represent observed route energy use or actual fleet composition.,see 03_data/raw/vehicle_specs/330_20260705_v02_ev_vehicle_specs_sources.csv,03_data/processed/416_20260705_ev_truck_specs_scenario.csv,extracted
ev_vehicle_spec_battery_kwh_range,ev_vehicle_specs_official_sources,Japan,,2026,EV vehicle scenario battery capacity range,36.6-123.0,kWh,vehicle model,2023-2026 specifications,Vehicle and battery scenario,Defines sensitivity range for SOC feasibility and charging need in synthetic simulation.,Minimum and maximum battery_kwh across official specification scenario rows.,Battery capacity is total installed energy where specified; usable energy may be lower.,see 03_data/raw/vehicle_specs/330_20260705_v02_ev_vehicle_specs_sources.csv,03_data/processed/416_20260705_ev_truck_specs_scenario.csv,extracted
tokyo_freight_establishments_all_facilities,freight_flow_census_tokyo_visual_csvs,Japan,Tokyo,,Tokyo establishments that generate or attract logistics activity,56714.0,establishments,prefecture,not specified in file,Freight demand proxy,Supports synthetic customer-node and freight-demand context for Tokyo EV last-mile routing.,Filtered 56_01_1011 to region_code=13 and facility_type_code=9.,Establishment count is not customer-stop count or delivery-route count.,,03_data/raw/logistics/freight_flow_census_tokyo/320_20260705_v02_56_01_1011_establishment_locations_by_prefecture.csv,extracted
tokyo_freight_logistics_facilities,freight_flow_census_tokyo_visual_csvs,Japan,Tokyo,,Tokyo logistics facilities in freight-generating establishments,5311.0,facilities,prefecture,not specified in file,Depot and logistics facility proxy,Supports depot/service-area context for Tokyo EV last-mile routing.,Filtered 56_01_1011 to region_code=13 and facility_type_code=4.,Facility category is not evidence that a site is an EV depot or available for simulation.,,03_data/raw/logistics/freight_flow_census_tokyo/320_20260705_v02_56_01_1011_establishment_locations_by_prefecture.csv,extracted
tokyo_generated_outbound_trucks_per_day,freight_flow_census_tokyo_visual_csvs,Japan,Tokyo,,Tokyo generated outbound freight trucks,213957.0,trucks per day,prefecture,not specified in file,Freight activity proxy,Provides aggregate freight-truck activity pressure for Tokyo EV routing motivation.,Filtered 56_01_2011 to region_code=13 and facility_type_code=9.,Truck count is aggregate freight activity and not EV fleet size or route count.,,03_data/raw/logistics/freight_flow_census_tokyo/321_20260705_v02_56_01_2011_generated_attracted_freight_by_prefecture.csv,extracted
tokyo_generated_inbound_trucks_per_day,freight_flow_census_tokyo_visual_csvs,Japan,Tokyo,,Tokyo attracted inbound freight trucks,150390.0,trucks per day,prefecture,not specified in file,Freight activity proxy,Provides aggregate inbound freight-truck activity pressure for Tokyo EV routing motivation.,Filtered 56_01_2011 to region_code=13 and facility_type_code=9.,Truck count is aggregate freight activity and not EV fleet size or route count.,,03_data/raw/logistics/freight_flow_census_tokyo/321_20260705_v02_56_01_2011_generated_attracted_freight_by_prefecture.csv,extracted
tokyo_interregional_outbound_trucks_per_day,freight_flow_census_tokyo_visual_csvs,Japan,Tokyo,,Tokyo interregional outbound freight trucks,4281.705,trucks per day,prefecture-pair OD,not specified in file,Interregional freight context,"Optional context for Tokyo boundary-crossing freight, not the main last-mile routing input.",Filtered 56_01_3011 to rows involving Tokyo and summed all-commodity Tokyo outbound truck counts.,Interregional OD is useful background but does not identify urban last-mile stops or EV charging events.,,03_data/raw/logistics/freight_flow_census_tokyo/322_20260705_v02_56_01_3011_interregional_freight_flow_by_prefecture.csv,extracted
tokyo_interregional_inbound_trucks_per_day,freight_flow_census_tokyo_visual_csvs,Japan,Tokyo,,Tokyo interregional inbound freight trucks,1209.868,trucks per day,prefecture-pair OD,not specified in file,Interregional freight context,"Optional context for Tokyo boundary-crossing freight, not the main last-mile routing input.",Filtered 56_01_3011 to rows involving Tokyo and summed all-commodity Tokyo inbound truck counts.,Interregional OD is useful background but does not identify urban last-mile stops or EV charging events.,,03_data/raw/logistics/freight_flow_census_tokyo/322_20260705_v02_56_01_3011_interregional_freight_flow_by_prefecture.csv,extracted
charging_stations_tokyo_n03_boundary_clipped,open_charge_map,Japan,Tokyo,2026-07-05,Open Charge Map stations clipped by official MLIT N03 Tokyo boundary polygon.,135,stations,city,snapshot,Charging geospatial readiness,"EVRP station-choice, SOC feasibility, and charging-time constraint context",Open Charge Map stations clipped by official MLIT N03 Tokyo boundary polygon.,OCM coverage/status may be incomplete; public availability and connector compatibility require case-specific screening.,https://www.openchargemap.org/develop/api,03_data/raw/charging_infrastructure/open_charge_map/tokyo/open_charge_map_tokyo_detailed_2026-07-05.json,extracted
charging_connections_tokyo_n03_boundary_clipped,open_charge_map,Japan,Tokyo,2026-07-05,Open Charge Map connector records for stations clipped by official MLIT N03 Tokyo boundary polygon.,137,connections,city,snapshot,Charging geospatial readiness,"EVRP station-choice, SOC feasibility, and charging-time constraint context",Open Charge Map connector records for stations clipped by official MLIT N03 Tokyo boundary polygon.,Each OCM connection is a reported connector record; quantity and actual availability may be incomplete.,https://www.openchargemap.org/develop/api,03_data/raw/charging_infrastructure/open_charge_map/tokyo/open_charge_map_tokyo_detailed_2026-07-05.json,extracted
fast_charging_connections_tokyo_n03_boundary_clipped,open_charge_map,Japan,Tokyo,2026-07-05,Connector records with reported PowerKW >= 50 after N03 Tokyo boundary clipping.,32,connections,city,snapshot,Charging geospatial readiness,"EVRP station-choice, SOC feasibility, and charging-time constraint context",Connector records with reported PowerKW >= 50 after N03 Tokyo boundary clipping.,50 kW threshold is a research proxy and depends on reported PowerKW availability.,https://www.openchargemap.org/develop/api,03_data/raw/charging_infrastructure/open_charge_map/tokyo/open_charge_map_tokyo_detailed_2026-07-05.json,extracted
fast_charger_station_share_tokyo_n03_boundary_clipped,open_charge_map,Japan,Tokyo,2026-07-05,Share of N03-clipped Tokyo stations with at least one reported connector PowerKW >= 50.,0.2222,share of stations,city,snapshot,Charging geospatial readiness,"EVRP station-choice, SOC feasibility, and charging-time constraint context",Share of N03-clipped Tokyo stations with at least one reported connector PowerKW >= 50.,"PowerKW is missing for some stations; threshold is a proxy, not an official charger class.",https://www.openchargemap.org/develop/api,03_data/raw/charging_infrastructure/open_charge_map/tokyo/open_charge_map_tokyo_detailed_2026-07-05.json,extracted
