original_path,sha256,file_size,reason_for_deletion,outdated_sections,valid_information_migrated,migration_destination,validation_status,deletion_timestamp
/Users/tstakuma/Desktop/github/research/outputs/slide_revision/citation_audit.md,d7123727e31f73423ef57c9bcb55fbf4ad4ab4d0e55617f0f3c4ac63a9696b3b,2491,Mixed or superseded research Markdown consolidated into canonical documentation,final; /Users/tstakuma/Desktop/github/research/,"research scope, methods, provenance, references, execution or asset context as applicable",203_20260712_presentation_asset_map.md; 005_20260712_cleanup_report.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/outputs/slide_revision/revision_report.md,f7e57db7961488b5694b33be1457f758a76a2a76981784e8e18ca07642bbf160,1703,Mixed or superseded research Markdown consolidated into canonical documentation,old; revision; /Users/tstakuma/Desktop/github/research/,"research scope, methods, provenance, references, execution or asset context as applicable",203_20260712_presentation_asset_map.md; 005_20260712_cleanup_report.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/outputs/figures/circuit_width/README_reported_circuit_width_figure.md,3b402d3e3c2e295252c0cb184ecb422adee04108dbb50158d9f6ff4028497e23,12377,Mixed or superseded research Markdown consolidated into canonical documentation,old; legacy; copy,"research scope, methods, provenance, references, execution or asset context as applicable",203_20260712_presentation_asset_map.md; 005_20260712_cleanup_report.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/data/processed/evrp_constraint_gap_inputs/README.md,00e49ac020a9217409ec9516ae6df8c175f530994406d5221fafbb8e4ca45b19,1699,Mixed or superseded research Markdown consolidated into canonical documentation,old,"research scope, methods, provenance, references, execution or asset context as applicable",004_20260712_data_provenance.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/backup/20260711_before_constraint_gap_refactor/figures/README.md,04261d37390bd2c01451610d741c68ce281d29e7e0358edaea0c7f8b13f57dbe,2579,Mixed or superseded research Markdown consolidated into canonical documentation,old,"research scope, methods, provenance, references, execution or asset context as applicable",001_20260712_readme.md; 002_20260712_research_structure.md; 006_20260712_folder_structure.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/backup/20260711_before_constraint_gap_refactor/root_files/README.md,b6cc68e2a1a79597a7dacadd77a3fc4615d0920d349a6f72dac290b4e3bdb134,8003,Mixed or superseded research Markdown consolidated into canonical documentation,/Users/tstakuma/Desktop/github/research/,"research scope, methods, provenance, references, execution or asset context as applicable",001_20260712_readme.md; 002_20260712_research_structure.md; 006_20260712_folder_structure.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/submissions/ieee_qce_2026_bof_quantum_future_design_overleaf/japanese_draft.md,e39bbd8592fa6cd5fc35988431801222b122efda05678eb0be938d1fe9a19a97,15848,Mixed or superseded research Markdown consolidated into canonical documentation,old; 旧,"research scope, methods, provenance, references, execution or asset context as applicable",002_20260712_research_structure.md; 003_20260712_research_environment.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/submissions/ieee_qce_2026_bof_quantum_future_design_overleaf/README.md,0b17c3a095dd37f55dc221fc9a036b1ea71737707dd99bdcae347c8ef7504026,1633,Mixed or superseded research Markdown consolidated into canonical documentation,old; /Users/tstakuma/Desktop/github/research/,"research scope, methods, provenance, references, execution or asset context as applicable",002_20260712_research_structure.md; 003_20260712_research_environment.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/submissions/ieee_qce_2026_bof_quantum_future_design_overleaf/references/README.md,eab4ecb96041e8678b9c5d4e04154151e2f1fb91e661ad3634be0a05ec51694b,307,Mixed or superseded research Markdown consolidated into canonical documentation,old,"research scope, methods, provenance, references, execution or asset context as applicable",002_20260712_research_structure.md; 003_20260712_research_environment.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/submissions/ieee_qce_2026_bof_quantum_future_design_overleaf/references/bof/README.md,c1424e7d7be6f68ed4f29d9f02501d3d9a7ad5075c8c8f564ec376881ed8f510,1596,Mixed or superseded research Markdown consolidated into canonical documentation,old,"research scope, methods, provenance, references, execution or asset context as applicable",002_20260712_research_structure.md; 003_20260712_research_environment.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/future_design_analysis_methods/methods/15_life_cycle_assessment.md,ccfbf3b57f507a0b7b71387ebb06c1f757da2c00c8d5ff9a03b35280f2dbb4ce,14180,Mixed or superseded research Markdown consolidated into canonical documentation,superseded structure/duplicated narrative,"research scope, methods, provenance, references, execution or asset context as applicable",202_20260712_analysis_method.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/future_design_analysis_methods/methods/06_futures_wheel.md,2608f236ed2f46051caa47a3606bea8b76e859008ecef5c86272030f7a4691fa,11251,Mixed or superseded research Markdown consolidated into canonical documentation,過去,"research scope, methods, provenance, references, execution or asset context as applicable",202_20260712_analysis_method.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/future_design_analysis_methods/methods/03_delphi_method.md,fbb098270aa16f99fb582c3eb7b785183068bd33940be5faa7df900a6d57a2cb,13855,Mixed or superseded research Markdown consolidated into canonical documentation,old; 過去,"research scope, methods, provenance, references, execution or asset context as applicable",202_20260712_analysis_method.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/future_design_analysis_methods/methods/11_scenario_planning.md,9534a07167a0b6e11d90a308008cc3963e3cf143d515409e5fd4431dbd9fd764,14654,Mixed or superseded research Markdown consolidated into canonical documentation,過去,"research scope, methods, provenance, references, execution or asset context as applicable",202_20260712_analysis_method.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/future_design_analysis_methods/methods/00_methodology.md,d97067631ff582c1fe5ff6c379df178088fbd86979eeb34d697094d06f592070,12782,Mixed or superseded research Markdown consolidated into canonical documentation,過去,"research scope, methods, provenance, references, execution or asset context as applicable",202_20260712_analysis_method.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/future_design_analysis_methods/methods/12_cross_impact_analysis.md,e6179583b9ae62f6e511723a8f40fc937215cff0c7f4796d730e2c1321be7f7f,13242,Mixed or superseded research Markdown consolidated into canonical documentation,superseded structure/duplicated narrative,"research scope, methods, provenance, references, execution or asset context as applicable",202_20260712_analysis_method.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/future_design_analysis_methods/methods/14_causal_layered_analysis.md,1a9862f59ce4a7e0b6b6108eb83dced8d4ba83f69813e253d1c811388884380c,15617,Mixed or superseded research Markdown consolidated into canonical documentation,過去,"research scope, methods, provenance, references, execution or asset context as applicable",202_20260712_analysis_method.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/future_design_analysis_methods/methods/02_morphological_analysis.md,58d404ec54a44b66115b54594acd4598b92ad3a26fdec85fc73b11809ca3f3ad,14486,Mixed or superseded research Markdown consolidated into canonical documentation,過去,"research scope, methods, provenance, references, execution or asset context as applicable",202_20260712_analysis_method.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/future_design_analysis_methods/methods/10_trend_analysis.md,871b864b174dd4415e35f79fe3e371530caa808b2a5cbd003795c40a708e0e23,11698,Mixed or superseded research Markdown consolidated into canonical documentation,過去,"research scope, methods, provenance, references, execution or asset context as applicable",202_20260712_analysis_method.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/future_design_analysis_methods/methods/08_social_network_analysis.md,3565bf367258896c23bd09161acb64fd1457a7051e18e7dfa635ba8fdcdd0b9b,11141,Mixed or superseded research Markdown consolidated into canonical documentation,superseded structure/duplicated narrative,"research scope, methods, provenance, references, execution or asset context as applicable",202_20260712_analysis_method.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/future_design_analysis_methods/methods/07_simulation_modeling.md,3494873361eeeea7640474364c2440d748611ef52ff65097ae95421aec885925,12034,Mixed or superseded research Markdown consolidated into canonical documentation,過去,"research scope, methods, provenance, references, execution or asset context as applicable",202_20260712_analysis_method.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/future_design_analysis_methods/methods/13_technology_assessment.md,6b1387658936bedff2120d79abb609fd4fd7debffaa5aefe8ae18fa881ef9d0c,14667,Mixed or superseded research Markdown consolidated into canonical documentation,superseded structure/duplicated narrative,"research scope, methods, provenance, references, execution or asset context as applicable",202_20260712_analysis_method.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/future_design_analysis_methods/methods/01_systems_thinking.md,7ba3615a99ca1d80e3ded78e6ac5fe0db47cf0fa5615ed4f847b632ec6aafa1d,16517,Mixed or superseded research Markdown consolidated into canonical documentation,過去,"research scope, methods, provenance, references, execution or asset context as applicable",202_20260712_analysis_method.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/future_design_analysis_methods/methods/05_fmea.md,99f0a3b2f15ae03d116b6f32b13fc9b88a26f4c24dbae972a42c01fe658271a8,15767,Mixed or superseded research Markdown consolidated into canonical documentation,過去,"research scope, methods, provenance, references, execution or asset context as applicable",202_20260712_analysis_method.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/future_design_analysis_methods/methods/09_systems_engineering.md,26aac186755c6cc3442251f02b26c4317f4fcb6493410e18dd470e2e8ddcca83,11335,Mixed or superseded research Markdown consolidated into canonical documentation,superseded structure/duplicated narrative,"research scope, methods, provenance, references, execution or asset context as applicable",202_20260712_analysis_method.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/future_design_analysis_methods/methods/04_backcasting.md,bceca8659249183f96b7ecd477072f8aa1e9d19d03a83de67cebaa5b06a90b24,14533,Mixed or superseded research Markdown consolidated into canonical documentation,過去,"research scope, methods, provenance, references, execution or asset context as applicable",202_20260712_analysis_method.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/evrp_feasibility_sensitivity_results_summary_ja.md,27987ab042a5e36d610e386e084b6683d553e4d0cd0dc7650b1160fd5534e2d0,8988,Mixed or superseded research Markdown consolidated into canonical documentation,superseded structure/duplicated narrative,"research scope, methods, provenance, references, execution or asset context as applicable",001_20260712_readme.md; 002_20260712_research_structure.md; 006_20260712_folder_structure.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/tokyo_evrp_quantum_requirement_map_presentation.md,80e7885c8a46ff3b85d04da36f18a9e17abf352a956e506f256c4232fd7502c3,4738,Mixed or superseded research Markdown consolidated into canonical documentation,superseded structure/duplicated narrative,"research scope, methods, provenance, references, execution or asset context as applicable",001_20260712_readme.md; 002_20260712_research_structure.md; 006_20260712_folder_structure.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/figure_inventory_and_presentation_selection.md,8a288aaca55f39c0f7c8f747f5def7a3e1430dad5fa3dd609cbb8c274320fa6c,7925,Mixed or superseded research Markdown consolidated into canonical documentation,old,"research scope, methods, provenance, references, execution or asset context as applicable",001_20260712_readme.md; 002_20260712_research_structure.md; 006_20260712_folder_structure.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/morphological_analysis_summary.md,dc5000e9366fbfb9ce1f88695607401ce969fcbe6fe585cdd4ab15614551e661,2640,Mixed or superseded research Markdown consolidated into canonical documentation,superseded structure/duplicated narrative,"research scope, methods, provenance, references, execution or asset context as applicable",001_20260712_readme.md; 002_20260712_research_structure.md; 006_20260712_folder_structure.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/tokyo_evrp_quantum_requirement_map_summary_ja.md,b059e813adb52ddafeaa705b04d4115e00afb420ffb6ce72ebec215a247e646a,3359,Mixed or superseded research Markdown consolidated into canonical documentation,superseded structure/duplicated narrative,"research scope, methods, provenance, references, execution or asset context as applicable",001_20260712_readme.md; 002_20260712_research_structure.md; 006_20260712_folder_structure.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/tokyo_evrp_quantum_requirement_map_summary.md,25f15e24df081e3f81c03a69052f0502189d8130c55fbb86170ca7af75ff75a0,3089,Mixed or superseded research Markdown consolidated into canonical documentation,superseded structure/duplicated narrative,"research scope, methods, provenance, references, execution or asset context as applicable",001_20260712_readme.md; 002_20260712_research_structure.md; 006_20260712_folder_structure.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/research_design_memo_2026-07-08.md,b141675c160c5079b65dce6b745b6116247867ee99eb2c688249502197a2207e,11129,Mixed or superseded research Markdown consolidated into canonical documentation,superseded structure/duplicated narrative,"research scope, methods, provenance, references, execution or asset context as applicable",001_20260712_readme.md; 002_20260712_research_structure.md; 006_20260712_folder_structure.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/evrp_benchmark_requirement_table.md,cca7605dcc0b15fd194bf2a8f7dbbcd5c4e7bb340f79494a32439e43f1f87476,2744,Mixed or superseded research Markdown consolidated into canonical documentation,superseded structure/duplicated narrative,"research scope, methods, provenance, references, execution or asset context as applicable",001_20260712_readme.md; 002_20260712_research_structure.md; 006_20260712_folder_structure.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/evrp_feasibility_assumption_audit.md,4264aa1b249316172d07a60a996cfbbf9aa537628114a45ece401688e0603b0c,6737,Mixed or superseded research Markdown consolidated into canonical documentation,old,"research scope, methods, provenance, references, execution or asset context as applicable",001_20260712_readme.md; 002_20260712_research_structure.md; 006_20260712_folder_structure.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/evrp_benchmark_instance_analysis_summary.md,f29e27e90295f6bd59d9617722ba0eb750fa87a73918f1f471b5b483c957880b,3147,Mixed or superseded research Markdown consolidated into canonical documentation,superseded structure/duplicated narrative,"research scope, methods, provenance, references, execution or asset context as applicable",001_20260712_readme.md; 002_20260712_research_structure.md; 006_20260712_folder_structure.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/methodological_strengthening_with_future_design_methods.md,4a9d0e254e5f6dcf8accae27e27f832f98fc6c7b81f3ca91fa554f734651bb71,10042,Mixed or superseded research Markdown consolidated into canonical documentation,superseded structure/duplicated narrative,"research scope, methods, provenance, references, execution or asset context as applicable",001_20260712_readme.md; 002_20260712_research_structure.md; 006_20260712_folder_structure.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/tokyo_synthetic_evrp_scenario_assumptions.md,fae77f9c57d482ed27a4fa16690be311a8f9fb7ff44ee10a0a1551015f599063,7490,Mixed or superseded research Markdown consolidated into canonical documentation,superseded structure/duplicated narrative,"research scope, methods, provenance, references, execution or asset context as applicable",001_20260712_readme.md; 002_20260712_research_structure.md; 006_20260712_folder_structure.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/next_analysis_plan.md,971d77e064aa8ee92fe486220219b11882d96e7e3bdca67b651931bdd9ad5633,8371,Mixed or superseded research Markdown consolidated into canonical documentation,/Users/tstakuma/Desktop/github/research/,"research scope, methods, provenance, references, execution or asset context as applicable",001_20260712_readme.md; 002_20260712_research_structure.md; 006_20260712_folder_structure.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/readiness_deepening_framework.md,975db64cbaada30750e03bd37f8d7038fc3c65c27d0e9fe9e1d7b71612104806,9784,Mixed or superseded research Markdown consolidated into canonical documentation,superseded structure/duplicated narrative,"research scope, methods, provenance, references, execution or asset context as applicable",001_20260712_readme.md; 002_20260712_research_structure.md; 006_20260712_folder_structure.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/problem_structure_social_instance_mapping.md,b19094cc77728a30c7e5098095ddcc82cee66ab62cfde16a0bf65e2072315204,8838,Mixed or superseded research Markdown consolidated into canonical documentation,superseded structure/duplicated narrative,"research scope, methods, provenance, references, execution or asset context as applicable",001_20260712_readme.md; 002_20260712_research_structure.md; 006_20260712_folder_structure.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/pre_execution_assumptions_for_next_analysis.md,5ce7b2814a16533d3266028353af9a6bc2d73feb2492bad817242999206fe278,13338,Mixed or superseded research Markdown consolidated into canonical documentation,final,"research scope, methods, provenance, references, execution or asset context as applicable",001_20260712_readme.md; 002_20260712_research_structure.md; 006_20260712_folder_structure.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
