file,line,text,classification,reason
reproducibility/outputs/traffic_simulation/end_to_end_workflow_feasibility_audit/20260914_v2/build_audit.py,88,"cf('DC01',F+'DISPATCH_BATCH_SPEC.md','horizon_semantics=one_dispatch_batch','DIRECT_CONTRADICTION','Mandatory dispatch-specific horizon field','User top-level horizon is OPEN; amend interface in versioned follow-up; preserve one tour per used vehicle','REWRITE','MUST FIX BEFORE IMPLEMENTATION','BLOCKS_CURRENT_IMPLEMENTATION')",KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/end_to_end_workflow_feasibility_audit/20260914_v2/build_audit.py,89,"cf('DC02',G+'GATE_A_SERVICE_EVENT_BATCH.md','frozen one-dispatch','SUPERSEDED_DESIGN','A5 requires one-dispatch interpretation','Retain A1-A6; broaden A5 to temporal/horizon evidence; dispatch conditional; acceptance still requires membership','REWRITE','MUST FIX BEFORE IMPLEMENTATION','BLOCKS_CURRENT_IMPLEMENTATION')",KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/end_to_end_workflow_feasibility_audit/20260914_v2/build_audit.py,95,"cf('DC08',G+'R24_DATA_GATE_EXECUTION_PIPELINE.md','NEXT_EXECUTABLE_TASK','TERMINOLOGY_DRIFT','NEXT reconstruct event/batch evidence implies dispatch fixed','RENAME_AND_NARROW to request/event/temporal evidence; evidence only','KEEP_CURRENT','MUST FIX BEFORE IMPLEMENTATION','DOCUMENTATION_ONLY')",KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/end_to_end_workflow_feasibility_audit/20260914_v2/build_audit.py,120,"gaps += [['GAP02','S02','STOP_NEW_ENDPOINT_PROFILE_OD_UNVALIDATED','Accepted 132 pairs not all eligible stops','BLOCKS_LATER_STAGE_ONLY',A+'ROUTING_BASELINE_PIPELINE.md','Validate selected endpoints/profile and compute only required directed pairs after gates','REQUIRES_UPSTREAM_GATE'],['GAP14','S03','SOURCE_USE_MODE_OPEN','Full original regeneration blocked; saved snapshot bounded-use review can proceed','BLOCKS_CURRENT_IMPLEMENTATION',G+'GATE_A_SERVICE_EVENT_BATCH.md','A1 chooses no mode automatically; preserve original generator STOP','IMPLEMENTABLE_NOW']]",KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/end_to_end_workflow_feasibility_audit/20260914_v2/build_audit.py,122,"risks=[('LR01','mandatory dispatch-batch interpretation','DC01;DC02','DIRECT_CONTRADICTION','Gate A prematurely binds horizon','REWRITE','MUST FIX BEFORE IMPLEMENTATION'),('LR02','building = customer','DC11','SUPERSEDED_DESIGN','Building centroid mistaken for physical access; SUPERSEDED_SEMANTIC','MARK_DEPRECATED','MUST FIX BEFORE IMPLEMENTATION'),('LR03','daily demand = tour load',G+'GATE_A_SERVICE_EVENT_BATCH.md','UNIT_INCONSISTENCY','Rate/count multiplied into onboard load without horizon and dimension','MARK_DEPRECATED','MUST FIX BEFORE IMPLEMENTATION'),('LR04','old hierarchical / quartile × tertile sampling','SEARCH_HITS.csv','SUPERSEDED_DESIGN','No adoption for new primary; distinguish descriptive quartiles from sampling requirements','MARK_DEPRECATED','SHOULD FIX'),('LR05','small n=3/4/5 representativeness','05_src/traffic_simulation/R23_STATUS.md','UNSUPPORTED_CLAIM','No affirmative current all-Ota claim established; retain limitation, forbid promotion','KEEP_HISTORICAL','CAN DEFER'),('LR06','Q=2000kg primary','DC10;DC12','SCOPE_DRIFT','Legacy comparison assumption mistaken for new authority','KEEP_HISTORICAL','MUST FIX BEFORE IMPLEMENTATION'),('LR07','parcel-weight 1.1 kg/customer','CD06;CD07','SCOPE_DRIFT','Old fixed fixture conversion supplies fake R24 load','MARK_DEPRECATED','MUST FIX BEFORE IMPLEMENTATION'),('LR08','capacity must bind',G+'R24_DATA_GATE_EXECUTION_PIPELINE.md','UNSUPPORTED_CLAIM','No current adoption found; never tune q/Q/m to force binding','KEEP_HISTORICAL','CAN DEFER'),('LR09','fleet = ceil(sum(q)/Q)',F+'R24_MATHEMATICAL_SPEC.md','SUPERSEDED_DESIGN','Capacity-only lower bound mistaken for sufficient or actual fleet','MARK_DEPRECATED','MUST FIX BEFORE IMPLEMENTATION'),('LR10','energy=QUBO objective', 'CD02;CD11','UNIT_INCONSISTENCY','QUBO energy not electrical kWh; travel-time objective not electricity','MARK_DEPRECATED','MUST FIX BEFORE IMPLEMENTATION')]",KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/end_to_end_workflow_feasibility_audit/20260914_v2/build_audit.py,192,"Building is not an observed customer/physical stop (SUPERSEDED_SEMANTIC). 85,690 is synthetic household allocated building support;39,956 is positive-demand mapped buildings on the designated synthetic day. n is computational benchmark size, never statistical Ota sample size. New primary is repeated SRSWOR conditional on accepted eligible population; secondary structural cases; fixed anchors reference only. No seeds,n,r,groups or instances chosen here.",KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/end_to_end_workflow_feasibility_audit/20260914_v2/build_audit.py,196,NEXT_EXECUTABLE_TASK = reconstruct request/event/temporal evidence,KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/end_to_end_workflow_feasibility_audit/20260914_v2/build_audit.py,218,Requests→Stops→Horizon is conceptual: candidate stops/access can precede horizon review; final service-event identity depends jointly on compatible requests and accepted horizon. Never merge across horizon membership. A can define reproducible eligibility without constructing the concrete eligible-population file in an audit.,KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/end_to_end_workflow_feasibility_audit/20260914_v2/build_audit.py,222,"Decision: **C — concrete horizon remains OPEN**. Evidence source: saved daily_requests.csv header, existing Gate A A1–A6 and DISPATCH_BATCH_SPEC.md; no fresh operational acquisition/reconstruction in this audit.",KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/end_to_end_workflow_feasibility_audit/20260914_v2/build_audit.py,227,| One dispatch batch | Existing core has abstract finite one-dispatch set | UNSUPPORTED as observed membership; possible MODEL_ASSUMPTION proxy | No current DEP_006 manifest/territory/wave links. Abstract model label does not establish operational data |,KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/end_to_end_workflow_feasibility_audit/20260914_v2/build_audit.py,231,"A is not selected: operational evidence does not require dispatch batch. B is not selected now: a saved date makes day-based grouping plausible to review, but not approved as an R24 all-day load or executable horizon. C limits the next evidence task to request semantics, stop compatibility/access, available temporal information and operational/proxy evidence.",KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/end_to_end_workflow_feasibility_audit/20260914_v2/build_audit.py,233,"Dispatch batch is a candidate specialization of Planning Horizon; independent empirical dispatch machinery is not mathematically necessary for finite-set atemporal CVRP. The existing specification nevertheless explicitly froze `horizon_semantics=one_dispatch_batch`. Therefore this is a documented interpretation/interface conflict, not a claim that only a harmless word swap is needed everywhere. Version the Level 2–3 amendment and parent hashes before concrete generation. Preserve one tour per used vehicle, no midroute reload, no scheduling claims. A day-based finite required set could be a controlled benchmark only after that review; it cannot represent multiple dispatches with a reused fleet under unchanged R24.",KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/end_to_end_workflow_feasibility_audit/20260914_v2/build_audit.py,261,| Stable IDs | Existing stop_id is stable within saved building-day snapshot; not approved physical-stop/event ID |,KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/end_to_end_workflow_feasibility_audit/20260914_v2/build_audit.py,268,"n is computational benchmark size. Set feasible ranges from exact/MILP validation, number of model/encoding variables, logical qubits, state memory, runtime and QAOA resource review. R23 n² encoding and lambda bounds do not define R24 resources. No small n=3/4/5 case is an Ota-representative sample. Record failed/time-limited instances; no redraw based on solver success, desired capacity binding or favorable outcomes. Duplicate physical stops require explicit mapping, not count inflation.",KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/end_to_end_workflow_feasibility_audit/20260914_v2/build_audit.py,353,NEXT_EXECUTABLE_TASK = reconstruct request/event/temporal evidence,KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/end_to_end_workflow_feasibility_audit/20260914_v2/build_audit.py,365,"- LR02/LR03/LR09: prohibit building=physical stop, daily rate=onboard load, capacity-bound=actual fleet. Fill affected request/stop/horizon/unit/validation fields before concrete data.",KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/end_to_end_workflow_feasibility_audit/20260914_v2/build_audit.py,395,Preserve STOP_SERVICE_EVENT_DEFINITION_UNRESOLVED: blocks concrete event/access grouping.,KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/end_to_end_workflow_feasibility_audit/20260914_v2/build_audit.py,396,"Preserve STOP_DISPATCH_BATCH_DEFINITION_UNRESOLVED: keep legacy identifier for unaccepted concrete horizon/membership, even though dispatch-only interpretation is under amendment. No assertion that dispatch must exist. Do not drop this guard when vocabulary changes.",KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/end_to_end_workflow_feasibility_audit/20260914_v2/build_audit.py,436,| Largest semantic conflict | Mandatory one-dispatch horizon in frozen interface vs general Planning Horizon; building stop proxy vs physical event is a second critical semantic boundary |,KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/end_to_end_workflow_feasibility_audit/20260914_v2/build_audit.py,440,| Active STOPs | Generator provenance; service event/access; legacy dispatch/horizon membership; vehicle class; LOAD_UNIT_OPEN; concrete q/Q/m and downstream scoped guards |,KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/end_to_end_workflow_feasibility_audit/20260914_v2/build_audit.py,471,"ASSET_HASH_VERIFICATION.csv compares current authority-declared outputs against local bytes. Raw input original URLs, versions, geography/time, units and classifications are in OPEN_DATA_INPUT_AUDIT.csv; declared vs rehashed scopes explicit. Unrecovered URLs/values stay unknown. No browsing, data acquisition, source freshness claim or external operational evidence adoption. No source request/access/batch membership reconstructed beyond inspection of existing header/authority statements. Gate A decision/pass = NONE.",KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/end_to_end_workflow_feasibility_audit/20260914_v2/finalize_audit.py,23,"for cid,pat,kind,finding,res in [('DC13','Retain the existing hierarchy','SUPERSEDED_DESIGN','Historical schema mandates quartile x tertile, medoid cluster and nested PPS','MARK_DEPRECATED for current primary; preserve original design evidence; new SRSWOR principles supersede'),('DC14','horizon_days','DIRECT_CONTRADICTION','Historical schema fixes horizon_days=1 and mass=rate*horizon','Do not inherit into OPEN Planning Horizon or onboard load; retain as historical proposed model'),('DC15','Q_kg;','SCOPE_DRIFT','Historical candidate schema requires Q_kg=2000 fixed profile','Not R24 primary; explicit vehicle/resource authority in B/C/D required')]:",KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/end_to_end_workflow_feasibility_audit/20260914_v2/finalize_audit.py,41,"append('CLEANUP_PLAN.md',f'Concrete historical-schema targets: DC13–DC15 in `{p1}` require old hierarchy, horizon_days=1, daily mass and Q=2000; mark these provisions deprecated for R24 reuse before implementation. `{p2}` is historical comparison design, not new primary policy.')",KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/end_to_end_workflow_feasibility_audit/20260914_v2/finalize_audit.py,44,"append('END_TO_END_WORKFLOW_FEASIBILITY_AUDIT.md','追加精査: DC13–DC15は旧 representative_instance_schema.md の具体的なhierarchy／horizon_days=1／Q_kg=2000規定を特定したもの。旧設計として保存し、新R24での継承をdeprecatedとする。STOP_REPRESENTATIVENESS_UNVERIFIEDはsystem-scale empirical claimsに限定して維持。既存profileや用語warning自体が誤っているという主張と、誤継承リスクを区別した。')",KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/end_to_end_workflow_feasibility_audit/20260914_v2/validate_audit.py,32,"checks['only_one_NEXT_value']=all(set(re.findall(r'NEXT_EXECUTABLE_TASK = ([^\n]+)',(O/n).read_text()))=={'reconstruct request/event/temporal evidence'} for n in ['END_TO_END_WORKFLOW_AUTHORITY.md','IMPLEMENTATION_ORDER.md'])",KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/pipeline_authority_and_r24_capacity_plan/20260914_v1/CURRENT_PIPELINE_GAPS.md,11,"| Customer/physical stop ambiguity | Centroids and synthetic groups, no entrances/service events | New R24 event/dispatch definition required |",KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/pipeline_authority_and_r24_capacity_plan/20260914_v1/CUSTOMER_TERMINOLOGY.md,9,| service event | One compatible handover/service action at an access point in a batch | Recommended future semantic unit; no observed event registry |,KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/pipeline_authority_and_r24_capacity_plan/20260914_v1/CUSTOMER_TERMINOLOGY.md,16,"Future contract should carry request_id, household_id, building_id, access_point_id, service_event_id, dispatch_batch_id, aggregation_rule_id, source/proxy flags, units and parent hashes. Windows can require multiple events per physical building; co-located requests need not be separate driving visits. Unknown dwell/entrance data remain null, not zero.",REWRITE,field-scoped horizon/interface amendment proposal; preserve mathematics
reproducibility/outputs/traffic_simulation/pipeline_authority_and_r24_capacity_plan/20260914_v1/DEMAND_PIPELINE.md,38,"daily_requests → operator/territory/wave or declared benchmark batch assignment → compatible service-event aggregation → CVRP nodes. No day/2 rule, invented dispatch share, assumed single entrance or kg conversion is adopted. Required: batching evidence or predeclared benchmark abstraction; request/household/building child lineage; access/windows compatibility; vehicle/resource pairing. Operational manifests would support real claims; open aggregate data alone do not supply these links.",KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/pipeline_authority_and_r24_capacity_plan/20260914_v1/PIPELINE_AUTHORITY.md,23,"Derived geometry is not a physical stop observation. A deterministic calculation on a synthetic support does not erase that support's synthetic lineage. R04 w_i = H_m/N_m has units household-equivalents/candidate, not parcel/day or kg.",KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/pipeline_authority_and_r24_capacity_plan/20260914_v1/PIPELINE_AUTHORITY.md,45,"Neither is observed customer population. CUSTOMER_TERMINOLOGY.md records TERMINOLOGY_AMBIGUITY for building/customer/request/physical stop equivalence. All 39,956 saved memberships and counts were independently reconstructed in the preceding audit; this task verifies that evidence/input hashes rather than regenerating demand.",KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/pipeline_authority_and_r24_capacity_plan/20260914_v1/PIPELINE_AUTHORITY.md,100,"Open for R24: service-event definition, dispatch grouping, vehicle class/resource pair, physical load authority, fleet policy, grounding protocol. Historic Q/day/building rules are not automatically inherited.",KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
